LGA,region_id,Private,Government,Private_ppt,Government_ppt
Albury (C),LGA10050,3342,940,0.7805,0.2195
Armidale Regional (A),LGA10130,1790,445,0.8009,0.1991
Ballina (A),LGA10250,2387,570,0.8072,0.1928
Bathurst Regional (A),LGA10470,2125,560,0.7914,0.2086
Bega Valley (A),LGA10550,1375,335,0.8041,0.1959
Bellingen (A),LGA10600,541,105,0.8375,0.1625
Berrigan (A),LGA10650,241,24,0.9094,0.0906
Bland (A),LGA10800,90,52,0.6338,0.3662
Blayney (A),LGA10850,247,70,0.7792,0.2208
Blue Mountains (C),LGA10900,3484,412,0.8943,0.1057
Botany Bay (C),LGA11100,2862,1394,0.6725,0.3275
Broken Hill (C),LGA11250,385,136,0.7390,0.2610
Burwood (A),LGA11300,2671,314,0.8948,0.1052
Byron (A),LGA11350,1655,201,0.8917,0.1083
Cabonne (A),LGA11400,211,44,0.8275,0.1725
Camden (A),LGA11450,1950,316,0.8605,0.1395
Campbelltown (C) (NSW),LGA11500,6294,5842,0.5186,0.4814
Canada Bay (A),LGA11520,5465,647,0.8941,0.1059
Cessnock (C),LGA11720,2112,560,0.7904,0.2096
Clarence Valley (A),LGA11730,2031,467,0.8131,0.1869
Cobar (A),LGA11750,162,103,0.6113,0.3887
Coffs Harbour (C),LGA11800,3994,1172,0.7731,0.2269
Coolamon (A),LGA12000,24,20,0.5455,0.4545
Coonamble (A),LGA12150,23,88,0.2072,0.7928
Cowra (A),LGA12350,506,253,0.6667,0.3333
Dungog (A),LGA12700,193,36,0.8428,0.1572
Eurobodalla (A),LGA12750,1662,390,0.8099,0.1901
Fairfield (C),LGA12850,8262,4181,0.6640,0.3360
Forbes (A),LGA12900,386,195,0.6644,0.3356
Georges River (A),LGA12930,8461,1269,0.8696,0.1304
Gilgandra (A),LGA12950,126,69,0.6462,0.3538
Glen Innes Severn (A),LGA13010,370,96,0.7940,0.2060
Goulburn Mulwaree (A),LGA13310,1364,601,0.6941,0.3059
Greater Hume Shire (A),LGA13340,159,31,0.8368,0.1632
Griffith (C),LGA13450,1320,352,0.7895,0.2105
Gunnedah (A),LGA13550,490,182,0.7292,0.2708
Gwydir (A),LGA13660,81,12,0.8710,0.1290
Hawkesbury (C),LGA13800,2607,801,0.7650,0.2350
Hornsby (A),LGA14000,7226,622,0.9207,0.0793
Hunters Hill (A),LGA14100,562,262,0.6820,0.3180
Inner West (A),LGA14170,19216,1926,0.9089,0.0911
Inverell (A),LGA14200,563,220,0.7190,0.2810
Junee (A),LGA14300,150,79,0.6550,0.3450
Kempsey (A),LGA14350,1344,360,0.7887,0.2113
Kiama (A),LGA14400,841,51,0.9428,0.0572
Ku-ring-gai (A),LGA14500,2725,28,0.9898,0.0102
Kyogle (A),LGA14550,238,45,0.8410,0.1590
Lachlan (A),LGA14600,127,125,0.5040,0.4960
Lake Macquarie (C),LGA14650,7413,3386,0.6865,0.3135
Lane Cove (A),LGA14700,2527,228,0.9172,0.0828
Leeton (A),LGA14750,435,182,0.7050,0.2950
Lismore (C),LGA14850,2109,531,0.7989,0.2011
Lithgow (C),LGA14870,813,438,0.6499,0.3501
Liverpool (C),LGA14900,7544,4081,0.6489,0.3511
Liverpool Plains (A),LGA14920,168,75,0.6914,0.3086
Maitland (C),LGA15050,2981,1322,0.6928,0.3072
Mid-Coast (A),LGA15240,4373,878,0.8328,0.1672
Mid-Western Regional (A),LGA15270,1020,287,0.7804,0.2196
Moree Plains (A),LGA15300,544,335,0.6189,0.3811
Mosman (A),LGA15350,2757,50,0.9822,0.0178
Murray River (A),LGA15520,330,18,0.9483,0.0517
Muswellbrook (A),LGA15650,885,357,0.7126,0.2874
Nambucca (A),LGA15700,822,276,0.7486,0.2514
Narrabri (A),LGA15750,344,239,0.5901,0.4099
Narrandera (A),LGA15800,140,83,0.6278,0.3722
Narromine (A),LGA15850,210,116,0.6442,0.3558
Newcastle (C),LGA15900,9974,3497,0.7404,0.2596
North Sydney (A),LGA15950,10631,465,0.9581,0.0419
Oberon (A),LGA16100,216,40,0.8438,0.1563
Orange (C),LGA16150,2308,940,0.7106,0.2894
Parkes (A),LGA16200,542,289,0.6522,0.3478
Penrith (C),LGA16350,8982,2549,0.7789,0.2211
Port Macquarie-Hastings (A),LGA16380,3938,826,0.8266,0.1734
Port Stephens (A),LGA16400,3321,832,0.7997,0.2003
Queanbeyan-Palerang Regional (A),LGA16490,2625,679,0.7945,0.2055
Randwick (C),LGA16550,13118,3162,0.8058,0.1942
Richmond Valley (A),LGA16610,988,294,0.7707,0.2293
Rockdale (C),LGA16650,7491,775,0.9062,0.0938
Ryde (C),LGA16700,7882,1399,0.8493,0.1507
Shellharbour (C),LGA16900,2548,1646,0.6075,0.3925
Shoalhaven (C),LGA16950,4014,1241,0.7638,0.2362
Singleton (A),LGA17000,999,360,0.7351,0.2649
Snowy Valleys (A),LGA17080,525,240,0.6863,0.3137
Strathfield (A),LGA17100,2880,444,0.8664,0.1336
Tamworth Regional (A),LGA17310,2788,847,0.7670,0.2330
Temora (A),LGA17350,148,64,0.6981,0.3019
Tenterfield (A),LGA17400,187,58,0.7633,0.2367
The Hills Shire (A),LGA17420,5566,345,0.9416,0.0584
Tweed (A),LGA17550,4154,836,0.8325,0.1675
Upper Hunter Shire (A),LGA17620,481,152,0.7599,0.2401
Upper Lachlan Shire (A),LGA17640,88,21,0.8073,0.1927
Uralla (A),LGA17650,131,26,0.8344,0.1656
Wagga Wagga (C),LGA17750,3303,1292,0.7188,0.2812
Walgett (A),LGA17900,98,144,0.4050,0.5950
Warrumbungle Shire (A),LGA18020,191,104,0.6475,0.3525
Waverley (A),LGA18050,7132,387,0.9485,0.0515
Wentworth (A),LGA18200,168,49,0.7742,0.2258
Western Plains Regional (A),LGA18230,2529,867,0.7447,0.2553
Willoughby (C),LGA18250,6055,374,0.9418,0.0582
Wingecarribee (A),LGA18350,1945,400,0.8294,0.1706
Wollondilly (A),LGA18400,1079,143,0.8830,0.1170
Wollongong (C),LGA18450,9463,5809,0.6196,0.3804
Woollahra (A),LGA18500,5095,75,0.9855,0.0145
Yass Valley (A),LGA18710,340,104,0.7658,0.2342
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
