LGA,region_id,Total,x800_1249,x800_1249_ppt,,,,,
Albury (C),LGA10050,39677,5768,0.145373894,,,,,
Armidale Regional (A),LGA10130,62494,8371,0.133948859,,,,,
Ballina (A),LGA10250,32725,3762,0.114957983,,,,,
Bathurst Regional (A),LGA10470,30123,4207,0.139660724,,,,,
Bega Valley (A),LGA10550,25703,2636,0.102556122,,,,,
Bellingen (A),LGA10600,10094,924,0.091539528,,,,,
Berrigan (A),LGA10650,6747,797,0.118126575,,,,,
Bland (A),LGA10800,4823,547,0.113414887,,,,,
Blayney (A),LGA10850,5500,701,0.127454545,,,,,
Blue Mountains (C),LGA10900,64550,9771,0.15137103,,,,,
Botany Bay (C),LGA11100,30891,4467,0.144605225,,,,,
Broken Hill (C),LGA11250,15513,1553,0.100109586,,,,,
Burwood (A),LGA11300,26880,3678,0.136830357,,,,,
Byron (A),LGA11350,23053,2475,0.107361298,,,,,
Cabonne (A),LGA11400,10158,1260,0.124040165,,,,,
Camden (A),LGA11450,41825,7390,0.176688583,,,,,
Campbelltown (C) (NSW),LGA11500,116682,18002,0.15428258,,,,,
Canada Bay (A),LGA11520,59517,9854,0.165566141,,,,,
Cessnock (C),LGA11720,36750,3960,0.107755102,,,,,
Clarence Valley (A),LGA11730,39023,3525,0.090331343,,,,,
Cobar (A),LGA11750,3790,474,0.125065963,,,,,
Coffs Harbour (C),LGA11800,53479,5555,0.103872548,,,,,
Coolamon (A),LGA12000,3131,297,0.094857873,,,,,
Coonamble (A),LGA12150,3231,330,0.102135562,,,,,
Cowra (A),LGA12350,10026,1012,0.100937562,,,,,
Dungog (A),LGA12700,6615,826,0.124867725,,,,,
Eurobodalla (A),LGA12750,29427,2720,0.09243212,,,,,
Fairfield (C),LGA12850,127559,15871,0.124420856,,,,,
Forbes (A),LGA12900,7276,728,0.100054975,,,,,
Georges River (A),LGA12930,111200,16556,0.148884892,,,,,
Gilgandra (A),LGA12950,3557,361,0.10149002,,,,,
Glen Innes Severn (A),LGA13010,6960,647,0.09295977,,,,,
Goulburn Mulwaree (A),LGA13310,21835,2975,0.136249141,,,,,
Greater Hume Shire (A),LGA13340,8027,1039,0.129438146,,,,,
Griffith (C),LGA13450,18908,2630,0.139094563,,,,,
Gunnedah (A),LGA13550,9154,952,0.103998252,,,,,
Gwydir (A),LGA13660,4216,385,0.091318786,,,,,
Hawkesbury (C),LGA13800,50978,8722,0.171093413,,,,,
Hornsby (A),LGA14000,134302,20830,0.155098211,,,,,
Hunters Hill (A),LGA14100,10638,1498,0.140815943,,,,,
Inner West (A),LGA14170,146406,24643,0.168319604,,,,,
Inverell (A),LGA14200,12272,1144,0.093220339,,,,,
Junee (A),LGA14300,4021,461,0.114648097,,,,,
Kempsey (A),LGA14350,21225,1791,0.084381625,,,,,
Kiama (A),LGA14400,16574,2231,0.134608423,,,,,
Ku-ring-gai (A),LGA14500,87550,12507,0.142855511,,,,,
Kyogle (A),LGA14550,7309,594,0.081269668,,,,,
Lachlan (A),LGA14600,5190,565,0.108863198,,,,,
Lake Macquarie (C),LGA14650,157204,20277,0.128985268,,,,,
Lane Cove (A),LGA14700,27245,4636,0.170159662,,,,,
Leeton (A),LGA14750,8807,1142,0.129669581,,,,,
Lismore (C),LGA14850,35075,3776,0.107655025,,,,,
Lithgow (C),LGA14870,16128,1802,0.111731151,,,,,
Liverpool (C),LGA14900,129832,19654,0.151380245,,,,,
Liverpool Plains (A),LGA14920,6018,638,0.106015287,,,,,
Maitland (C),LGA15050,51210,7005,0.13678969,,,,,
Mid-Coast (A),LGA15240,68651,6260,0.091185853,,,,,
Mid-Western Regional (A),LGA15270,16874,1702,0.100865236,,,,,
Moree Plains (A),LGA15300,10523,1517,0.144160411,,,,,
Mosman (A),LGA15350,23119,3785,0.163718154,,,,,
Murray River (A),LGA15520,8753,977,0.111618874,,,,,
Muswellbrook (A),LGA15650,11792,1496,0.126865672,,,,,
Nambucca (A),LGA15700,14377,967,0.067260207,,,,,
Narrabri (A),LGA15750,10522,1341,0.127447253,,,,,
Narrandera (A),LGA15800,4780,536,0.112133891,,,,,
Narromine (A),LGA15850,5137,579,0.112711699,,,,,
Newcastle (C),LGA15900,125268,17397,0.138878245,,,,,
North Sydney (A),LGA15950,56710,10700,0.188679245,,,,,
Oberon (A),LGA16100,4158,603,0.145021645,,,,,
Orange (C),LGA16150,29308,4055,0.138358127,,,,,
Parkes (A),LGA16200,11441,1275,0.111441308,,,,,
Penrith (C),LGA16350,146508,25061,0.171055506,,,,,
Port Macquarie-Hastings (A),LGA16380,57739,5880,0.101837579,,,,,
Port Stephens (A),LGA16400,50503,6586,0.130408095,,,,,
Queanbeyan-Palerang Regional (A),LGA16490,42581,8001,0.187900707,,,,,
Randwick (C),LGA16550,108260,18515,0.171023462,,,,,
Richmond Valley (A),LGA16610,16872,1473,0.08730441,,,,,
Rockdale (C),LGA16650,79158,11811,0.149207913,,,,,
Ryde (C),LGA16700,87429,13862,0.15855151,,,,,
Shellharbour (C),LGA16900,49124,6299,0.128226529,,,,,
Shoalhaven (C),LGA16950,73227,7532,0.102858235,,,,,
Singleton (A),LGA17000,17513,2230,0.12733398,,,,,
Snowy Valleys (A),LGA17080,11787,1457,0.123610758,,,,,
Strathfield (A),LGA17100,26923,3814,0.141663262,,,,,
Tamworth Regional (A),LGA17310,44414,5398,0.121538254,,,,,
Temora (A),LGA17350,4784,489,0.102215719,,,,,
Tenterfield (A),LGA17400,5223,400,0.076584339,,,,,
The Hills Shire (A),LGA17420,140680,23293,0.165574353,,,,,
Tweed (A),LGA17550,65778,7052,0.107209097,,,,,
Upper Hunter Shire (A),LGA17620,10727,1204,0.112240142,,,,,
Upper Lachlan Shire (A),LGA17640,5764,673,0.116759195,,,,,
Uralla (A),LGA17650,4719,519,0.109980928,,,,,
Wagga Wagga (C),LGA17750,48438,6962,0.143730129,,,,,
Walgett (A),LGA17900,5211,535,0.102667434,,,,,
Warrumbungle Shire (A),LGA18020,7578,630,0.083135392,,,,,
Waverley (A),LGA18050,50977,9001,0.176569826,,,,,
Wentworth (A),LGA18200,5428,613,0.11293294,,,,,
Western Plains Regional (A),LGA18230,36353,4864,0.133799136,,,,,
Willoughby (C),LGA18250,55996,8762,0.156475463,,,,,
Wingecarribee (A),LGA18350,35277,4785,0.135640786,,,,,
Wollondilly (A),LGA18400,33427,5282,0.158015975,,,,,
Wollongong (C),LGA18450,157218,20719,0.131785165,,,,,
Woollahra (A),LGA18500,43313,7145,0.164962021,,,,,
Yass Valley (A),LGA18710,11380,1812,0.159226714,,,,,
