LGA,region_id,yr2006_Unemployment_ppt,yr2007_Unemployment_ppt,yr2008_Unemployment_ppt,yr2009_Unemployment_ppt,yr2010_Unemployment_ppt,yr2011_Unemployment_ppt,yr2012_Unemployment_ppt,yr2013_Unemployment_ppt,yr2014_Unemployment_ppt,yr2015_Unemployment_ppt,yr2016_Unemployment_ppt
Albury (C),LGA10050,0.0568,0.057,0.058,0.058,0.059,0.059,0.0626,0.066419661,0.070472386,0.074772396,0.0734
Armidale Regional (A),LGA10130,0.0757,0.074,0.072,0.070,0.068,0.068,0.071825,0.075865156,0.080132571,0.084640028,0.0833
Ballina (A),LGA10250,0.0725,0.068,0.063,0.059,0.055,0.053,0.05525,0.057595519,0.060040612,0.062589506,0.062
Bathurst Regional (A),LGA10470,0.0582,0.060,0.062,0.064,0.066,0.066,0.065525,0.065053419,0.064585231,0.064120413,0.0641
Bega Valley (A),LGA10550,0.0654,0.071,0.078,0.085,0.092,0.089,0.080925,0.073582647,0.066906469,0.060836023,0.0567
Bellingen (A),LGA10600,0.0944,0.081,0.070,0.060,0.052,0.042,0.050925,0.061746563,0.074867707,0.090777095,0.0777
Berrigan (A),LGA10650,0.041,0.038,0.034,0.031,0.029,0.027,0.03295,0.040211204,0.049072562,0.0598867,0.0508
Bland (A),LGA10800,0.0423,0.043,0.044,0.045,0.046,0.046,0.04325,0.040664402,0.038233378,0.035947687,0.035
Blayney (A),LGA10850,0.062,0.060,0.058,0.055,0.053,0.053,0.0552,0.057491321,0.059877753,0.062363245,0.0618
Blue Mountains (C),LGA10900,0.0464,0.048,0.050,0.052,0.053,0.053,0.052175,0.051362842,0.050563326,0.049776255,0.0497
Botany Bay (C),LGA11100,0.0513,0.061,0.074,0.088,0.106,0.092,0.0837,0.076148804,0.069278858,0.0630287,0.0588
Broken Hill (C),LGA11250,0.0836,0.079,0.074,0.070,0.066,0.064,0.07225,0.081563477,0.092077518,0.103946886,0.097
Burwood (A),LGA11300,0.0613,0.069,0.077,0.086,0.097,0.091,0.088725,0.086506875,0.084344203,0.082235598,0.0819
Byron (A),LGA11350,0.0806,0.069,0.059,0.050,0.043,0.034,0.043025,0.054445607,0.068897712,0.087186002,0.0701
Cabonne (A),LGA11400,0.0353,0.036,0.036,0.037,0.037,0.037,0.03865,0.040373581,0.042174025,0.044054758,0.0436
Camden (A),LGA11450,0.0373,0.045,0.055,0.068,0.082,0.07,0.063275,0.05719608,0.051701171,0.046734166,0.0431
Campbelltown (C) (NSW),LGA11500,0.0694,0.063,0.058,0.053,0.048,0.045,0.055075,0.067405681,0.082497063,0.100967239,0.0853
Canada Bay (A),LGA11520,0.0315,0.039,0.048,0.059,0.073,0.061,0.05905,0.057162336,0.055335015,0.053566109,0.0532
Cessnock (C),LGA11720,0.0792,0.083,0.087,0.091,0.095,0.094,0.094325,0.094651124,0.094978375,0.095306758,0.0953
Clarence Valley (A),LGA11730,0.0905,0.078,0.068,0.059,0.051,0.042,0.05625,0.075334821,0.10089485,0.135127031,0.099
Cobar (A),LGA11750,0.0506,0.061,0.073,0.088,0.107,0.092,0.085,0.078532609,0.072557302,0.067036637,0.064
Coffs Harbour (C),LGA11800,0.0811,0.069,0.058,0.050,0.042,0.032,0.043775,0.059882832,0.081917843,0.112061049,0.0791
Coolamon (A),LGA12000,0.0596,0.067,0.075,0.084,0.093,0.088,0.080475,0.073593473,0.067300395,0.061545446,0.0579
Coonamble (A),LGA12150,0.0685,0.068,0.068,0.067,0.067,0.067,0.075825,0.085812397,0.097115299,0.109906978,0.1023
Cowra (A),LGA12350,0.0618,0.059,0.057,0.054,0.052,0.051,0.05565,0.060723971,0.066260568,0.072301973,0.0696
Dungog (A),LGA12700,0.0462,0.056,0.068,0.083,0.101,0.086,0.0791,0.072753605,0.066916397,0.061547523,0.0584
Eurobodalla (A),LGA12750,0.0835,0.086,0.089,0.092,0.095,0.094,0.0895,0.085215426,0.081135964,0.077251795,0.076
Fairfield (C),LGA12850,0.0954,0.087,0.079,0.071,0.065,0.06,0.074325,0.092070094,0.114051829,0.141281703,0.1173
Forbes (A),LGA12900,0.0562,0.057,0.057,0.058,0.058,0.058,0.05805,0.058100043,0.058150129,0.058200259,0.0582
Georges River (A),LGA12930,0.0504,0.056,0.061,0.067,0.074,0.071,0.070675,0.070351488,0.070029456,0.069708899,0.0697
Gilgandra (A),LGA12950,0.0535,0.055,0.056,0.057,0.058,0.058,0.058525,0.059054752,0.059589299,0.060128685,0.0601
Glen Innes Severn (A),LGA13010,0.0738,0.065,0.057,0.051,0.045,0.039,0.05155,0.068138526,0.090065154,0.119047658,0.0892
Goulburn Mulwaree (A),LGA13310,0.058,0.055,0.053,0.050,0.048,0.047,0.05205,0.057642606,0.06383612,0.070695108,0.0672
Greater Hume Shire (A),LGA13340,0.0358,0.040,0.044,0.049,0.055,0.052,0.05105,0.050117356,0.04920175,0.048302872,0.0482
Griffith (C),LGA13450,0.0378,0.039,0.041,0.043,0.044,0.044,0.0455,0.047051136,0.048655152,0.050313851,0.05
Gunnedah (A),LGA13550,0.0765,0.068,0.060,0.053,0.047,0.041,0.045725,0.050994527,0.056871336,0.06342541,0.0599
Gwydir (A),LGA13660,0.049,0.049,0.049,0.048,0.048,0.048,0.049575,0.05120168,0.052881735,0.054616917,0.0543
Hawkesbury (C),LGA13800,0.0392,0.039,0.038,0.038,0.037,0.037,0.0389,0.040897568,0.042997713,0.045205704,0.0446
Hornsby (A),LGA14000,0.0357,0.046,0.059,0.075,0.096,0.076,0.069625,0.063784745,0.05843438,0.053532812,0.0505
Hunters Hill (A),LGA14100,0.0256,0.031,0.037,0.045,0.055,0.047,0.0443,0.041755106,0.039356409,0.037095509,0.0362
Inner West (A),LGA14170,0.0436,0.059,0.081,0.111,0.151,0.107,0.09285,0.080571238,0.069916257,0.060670322,0.0504
Inverell (A),LGA14200,0.0769,0.068,0.061,0.054,0.048,0.043,0.051975,0.06282327,0.075935802,0.091785193,0.0789
Junee (A),LGA14300,0.0602,0.056,0.053,0.050,0.046,0.045,0.0465,0.04805,0.049651667,0.051306722,0.051
Kempsey (A),LGA14350,0.1045,0.104,0.103,0.102,0.101,0.101,0.0992,0.097432079,0.095695666,0.093990199,0.0938
Kiama (A),LGA14400,0.0448,0.047,0.049,0.051,0.054,0.053,0.05125,0.049557783,0.047921441,0.046339129,0.046
Ku-ring-gai (A),LGA14500,0.0309,0.037,0.044,0.053,0.063,0.055,0.053575,0.05218692,0.050834805,0.049517721,0.0493
Kyogle (A),LGA14550,0.0922,0.079,0.067,0.057,0.049,0.038,0.052325,0.072050148,0.099211158,0.136611153,0.0953
Lachlan (A),LGA14600,0.061,0.056,0.051,0.047,0.043,0.04,0.047975,0.057540016,0.069012056,0.082771335,0.0719
Lake Macquarie (C),LGA14650,0.0626,0.069,0.077,0.085,0.095,0.09,0.085975,0.082130007,0.078456971,0.0749482,0.0739
Lane Cove (A),LGA14700,0.0287,0.041,0.057,0.081,0.114,0.076,0.0684,0.06156,0.055404,0.0498636,0.0456
Leeton (A),LGA14750,0.053,0.057,0.060,0.064,0.068,0.067,0.06405,0.061229888,0.058533945,0.055956704,0.0552
Lismore (C),LGA14850,0.0843,0.079,0.074,0.069,0.064,0.062,0.067525,0.073542349,0.080095921,0.087233501,0.0841
Lithgow (C),LGA14870,0.0781,0.070,0.063,0.056,0.051,0.046,0.055525,0.067022296,0.080900283,0.097651917,0.0841
Liverpool (C),LGA14900,0.0667,0.064,0.061,0.059,0.057,0.056,0.06215,0.068975402,0.076550379,0.084957251,0.0806
Liverpool Plains (A),LGA14920,0.0552,0.058,0.061,0.065,0.068,0.067,0.070225,0.073605233,0.077148172,0.080861647,0.0799
Maitland (C),LGA15050,0.0613,0.054,0.048,0.042,0.037,0.032,0.043725,0.059746113,0.081637463,0.111549939,0.0789
Mid-Coast (A),LGA15240,0.0893,0.077,0.066,0.057,0.049,0.04,0.05475,0.074939063,0.102572842,0.140396577,0.099
Mid-Western Regional (A),LGA15270,0.0681,0.081,0.096,0.114,0.135,0.119,0.10675,0.095761029,0.085903276,0.077060292,0.07
Moree Plains (A),LGA15300,0.0587,0.057,0.055,0.053,0.051,0.051,0.055325,0.060016777,0.065106435,0.070627716,0.0683
Mosman (A),LGA15350,0.0261,0.031,0.036,0.042,0.049,0.044,0.04315,0.04231642,0.041498944,0.04069726,0.0406
Murray River (A),LGA15520,0.0408,0.044,0.048,0.052,0.057,0.055,0.050925,0.04715192,0.043658392,0.040423702,0.0387
Muswellbrook (A),LGA15650,0.0509,0.053,0.056,0.059,0.062,0.061,0.068175,0.076193945,0.085156101,0.095172413,0.0897
Nambucca (A),LGA15700,0.1319,0.108,0.089,0.073,0.060,0.038,0.054275,0.077520411,0.110721587,0.158142478,0.1031
Narrabri (A),LGA15750,0.066,0.061,0.055,0.051,0.047,0.044,0.048825,0.054179105,0.060120337,0.066713078,0.0633
Narrandera (A),LGA15800,0.0477,0.047,0.046,0.045,0.044,0.044,0.04925,0.05512642,0.061704005,0.069066414,0.065
Narromine (A),LGA15850,0.0546,0.053,0.052,0.051,0.049,0.049,0.057125,0.066597258,0.07764017,0.090514178,0.0815
Newcastle (C),LGA15900,0.0677,0.064,0.061,0.057,0.054,0.053,0.0597,0.067246981,0.075748015,0.085323707,0.0798
North Sydney (A),LGA15950,0.0284,0.040,0.057,0.081,0.115,0.076,0.06665,0.058450296,0.051259371,0.04495312,0.0386
Oberon (A),LGA16100,0.0422,0.047,0.052,0.057,0.063,0.06,0.05995,0.059900042,0.059850125,0.05980025,0.0598
Orange (C),LGA16150,0.0546,0.055,0.056,0.057,0.058,0.058,0.0604,0.06289931,0.06550204,0.06821247,0.0676
Parkes (A),LGA16200,0.0767,0.079,0.080,0.082,0.084,0.084,0.0829,0.081814405,0.080743026,0.079685677,0.0796
Penrith (C),LGA16350,0.0502,0.052,0.054,0.056,0.058,0.058,0.05865,0.059307284,0.059971935,0.060644034,0.0606
Port Macquarie-Hastings (A),LGA16380,0.078,0.072,0.067,0.062,0.057,0.055,0.059375,0.064098011,0.069196717,0.074701001,0.0725
Port Stephens (A),LGA16400,0.0663,0.066,0.066,0.065,0.065,0.065,0.0682,0.071557538,0.075080371,0.078776636,0.0778
Queanbeyan-Palerang Regional (A),LGA16490,0.0278,0.042,0.062,0.093,0.139,0.083,0.072725,0.063721995,0.05583352,0.048921599,0.0419
Randwick (C),LGA16550,0.0426,0.038,0.034,0.031,0.028,0.025,0.033575,0.045091225,0.060557515,0.081328743,0.0593
Richmond Valley (A),LGA16610,0.0809,0.075,0.069,0.064,0.060,0.057,0.0638,0.071411228,0.079930462,0.089466026,0.0842
Rockdale (C),LGA16650,0.0515,0.054,0.056,0.058,0.061,0.06,0.061575,0.063191344,0.064850117,0.066552432,0.0663
Ryde (C),LGA16700,0.0449,0.047,0.049,0.050,0.052,0.052,0.055875,0.060038762,0.064512804,0.069320249,0.0675
Shellharbour (C),LGA16900,0.0685,0.070,0.072,0.073,0.075,0.075,0.0748,0.074600533,0.074401599,0.074203194,0.0742
Shoalhaven (C),LGA16950,0.0846,0.074,0.065,0.057,0.049,0.042,0.0493,0.05786881,0.06792696,0.079733312,0.0712
Singleton (A),LGA17000,0.0402,0.053,0.069,0.090,0.118,0.09,0.0837,0.077841,0.07239213,0.067324681,0.0648
Snowy Valleys (A),LGA17080,0.0575,0.052,0.046,0.042,0.037,0.034,0.039725,0.046413989,0.054229286,0.06336054,0.0569
Strathfield (A),LGA17100,0.0556,0.048,0.042,0.037,0.032,0.027,0.039,0.056333333,0.08137037,0.117534979,0.075
Tamworth Regional (A),LGA17310,0.0637,0.060,0.056,0.053,0.049,0.048,0.051475,0.055201576,0.05919794,0.063483624,0.0619
Temora (A),LGA17350,0.0623,0.058,0.055,0.052,0.048,0.047,0.047675,0.048359694,0.049054222,0.049758724,0.0497
Tenterfield (A),LGA17400,0.0726,0.079,0.087,0.095,0.104,0.1,0.095675,0.091537056,0.087578079,0.083790327,0.0827
The Hills Shire (A),LGA17420,0.0311,0.043,0.060,0.084,0.117,0.08,0.071975,0.064755008,0.058259271,0.052415138,0.0479
Tweed (A),LGA17550,0.0663,0.060,0.054,0.048,0.044,0.04,0.049,0.060025,0.073530625,0.090075016,0.076
Upper Hunter Shire (A),LGA17620,0.0424,0.047,0.051,0.056,0.062,0.059,0.056875,0.054826536,0.052851851,0.050948289,0.0505
Upper Lachlan Shire (A),LGA17640,0.0358,0.038,0.040,0.042,0.045,0.044,0.04315,0.04231642,0.041498944,0.04069726,0.0406
Uralla (A),LGA17650,0.0642,0.058,0.053,0.048,0.043,0.04,0.044025,0.048455016,0.053330802,0.058697213,0.0561
Wagga Wagga (C),LGA17750,0.0534,0.050,0.046,0.043,0.040,0.039,0.043775,0.049134631,0.055150474,0.061902872,0.0581
Walgett (A),LGA17900,0.0934,0.088,0.083,0.079,0.075,0.073,0.0848,0.098507397,0.114430511,0.132927497,0.1202
Warrumbungle Shire (A),LGA18020,0.0771,0.067,0.059,0.051,0.045,0.038,0.05035,0.06671375,0.088395719,0.117124327,0.0874
Waverley (A),LGA18050,0.0335,0.031,0.028,0.026,0.024,0.023,0.027275,0.032344592,0.038356468,0.045485768,0.0401
Wentworth (A),LGA18200,0.0501,0.074,0.110,0.162,0.239,0.146,0.1254,0.107706575,0.09250962,0.079456893,0.0636
Western Plains Regional (A),LGA18230,0.0525,0.067,0.085,0.107,0.136,0.109,0.097325,0.08690051,0.077592589,0.069281639,0.0623
Willoughby (C),LGA18250,0.0341,0.088,0.225,0.578,1.483,0.248,0.199325,0.16020345,0.128760293,0.10348849,0.0533
Wingecarribee (A),LGA18350,0.0408,0.067,0.110,0.181,0.298,0.146,0.11925,0.097401113,0.079555361,0.064979293,0.039
Wollondilly (A),LGA18400,0.0414,0.073,0.127,0.223,0.390,0.166,0.134925,0.109667203,0.089137634,0.072451177,0.0417
Wollongong (C),LGA18450,0.0697,0.073,0.076,0.079,0.083,0.082,0.080625,0.079273056,0.077943783,0.076636798,0.0765
Woollahra (A),LGA18500,0.0269,0.046,0.078,0.132,0.224,0.102,0.08515,0.071083554,0.05934083,0.049537957,0.0346
Yass Valley (A),LGA18710,0.026,0.034,0.045,0.059,0.078,0.059,0.051825,0.045522553,0.039986548,0.035123777,0.0303
