LGA,region_id,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
Albury,LGA10050,10,14,4,2,9,10,15,17,8,5,14,15,17,17,14,11,21,12,13,6,10,22,20,18,23,9,17,17,16,17,10,23,14,19,11,16,23,9,16,24,10,14,24,20,23,30,21,22,30,25,25,21,21,13,19,19,15,8,20,31,19,17,22,5,15,16,20,12,21,19,21,20,20,17,17,18,11,20,23,25,18,16,17,20,23,15,23,21,17,17,34,22,18,22,14,45,24,25,25,18,18,16,19,31,28,19,21,28,21,27,13,17,16,35,23,24,21,13,20,28,28,29,18,17,14,12,22,21,27,12,21,18,17,21,15,14,13,17,23,10,22,22,23,19,23,13,21,15,20,25,22,12,24,21,21,18,27,15,19,20,16,21,21,29,24,21,15,25,21,21,18,16,28,21,21,25,22,29,23,32,40,29,26,17,22,24,18,30,23,23,25,27,32,23,15,17,34,30,17,18,22,14,25,21
Armidale Dumaresq,LGA10110,9,9,7,3,9,1,12,6,8,4,6,4,4,4,7,14,18,2,2,7,12,1,4,11,9,7,7,8,4,17,7,6,4,8,10,5,6,4,8,6,9,15,7,10,4,11,6,7,11,5,5,7,9,8,5,7,11,2,6,8,10,7,9,7,8,3,7,10,14,6,5,7,4,8,3,7,7,5,6,2,8,5,6,12,9,9,8,11,6,12,5,5,5,11,13,8,16,10,14,8,10,8,9,16,9,8,10,16,20,15,6,14,14,4,7,13,5,12,9,11,15,13,9,5,10,11,10,8,10,7,7,8,9,6,6,7,15,15,11,6,14,9,9,16,16,12,15,8,11,11,9,9,9,19,11,15,14,12,17,12,13,9,8,16,19,17,11,10,11,16,14,11,22,11,11,17,10,15,16,11,12,6,10,9,14,20,10,14,13,18,21,20,18,10,18,14,19,13,17,16,4,10,7,16
Ashfield,LGA10150,10,10,9,12,4,4,3,5,1,2,5,3,8,4,11,5,7,6,10,5,3,8,7,6,11,8,4,7,8,8,8,4,4,8,11,10,6,5,10,4,14,13,8,7,11,6,10,9,8,11,6,10,5,9,12,5,8,4,2,14,16,8,12,16,9,4,11,7,14,14,9,16,14,6,10,6,6,4,11,16,9,10,10,6,19,4,9,7,12,10,5,6,10,7,11,16,12,13,8,8,10,13,5,3,11,10,11,6,11,4,8,6,3,3,10,10,5,8,10,13,6,5,14,10,4,2,3,6,10,7,6,8,13,6,10,5,13,6,6,6,12,5,5,14,10,17,10,5,7,9,7,11,9,15,4,7,6,1,7,16,6,2,8,3,9,4,11,9,7,8,14,8,10,4,13,9,7,8,15,5,8,1,7,4,9,16,11,6,8,11,17,9,8,5,11,10,11,10,9,10,7,13,13,8
Auburn,LGA10200,17,12,12,6,10,5,8,8,15,15,12,13,12,14,11,11,7,6,12,10,10,18,16,11,16,12,8,16,12,14,8,8,9,12,17,12,14,3,16,12,10,19,11,12,8,17,19,14,11,19,10,12,12,15,12,16,12,9,24,15,7,12,11,14,11,12,5,9,14,26,11,8,17,20,15,7,8,11,6,9,5,12,9,14,16,27,14,15,16,10,12,11,18,13,19,15,20,18,15,13,11,15,17,26,11,19,17,15,25,24,30,13,19,17,24,21,19,20,11,21,27,26,27,17,22,27,26,26,18,34,12,15,34,22,25,26,14,36,20,18,29,30,18,25,21,29,22,20,24,24,18,23,26,23,24,20,28,26,31,29,20,22,33,34,21,30,33,43,29,32,35,22,24,30,30,35,30,28,33,38,26,34,34,39,29,23,31,26,31,29,22,26,42,29,26,21,28,15,22,20,17,26,32,26
Ballina,LGA10250,17,18,14,5,9,6,4,6,3,10,5,12,12,8,15,16,9,10,10,8,8,9,13,10,16,18,18,9,9,8,12,7,11,19,8,20,23,11,16,7,11,12,8,10,19,9,25,30,20,20,16,17,13,14,7,17,20,14,18,24,23,19,11,10,14,11,18,5,9,14,9,12,11,8,13,14,13,6,11,5,12,14,15,21,24,14,11,15,13,8,12,17,14,15,13,18,23,12,22,15,7,11,13,8,14,14,23,21,15,19,5,10,9,7,6,6,11,6,6,12,12,15,8,15,14,10,14,13,13,15,9,9,11,7,7,18,7,9,10,11,12,11,8,16,11,7,10,12,11,15,14,7,11,21,14,16,21,16,13,9,5,15,12,11,12,13,14,9,21,10,16,12,12,9,9,9,8,9,10,11,20,12,19,13,12,15,10,8,16,15,10,14,6,7,10,6,3,10,4,9,7,12,12,7
Bankstown,LGA10350,42,28,36,24,31,25,23,19,20,29,26,36,42,35,30,31,39,43,27,31,29,32,38,61,55,41,51,48,27,40,37,58,58,39,54,59,39,41,45,35,34,24,37,34,47,45,59,52,62,61,34,41,40,35,33,32,40,29,47,34,45,33,31,34,30,37,26,39,44,57,41,40,67,48,40,35,33,28,40,35,39,45,39,43,52,70,58,37,45,39,53,51,46,52,55,63,65,37,63,64,51,39,47,49,49,51,55,68,41,41,58,43,51,39,38,45,42,47,50,53,51,42,53,49,54,37,63,61,54,44,70,65,51,51,57,45,75,65,51,53,52,48,50,76,77,77,79,53,64,64,50,51,48,55,73,75,62,65,73,57,51,52,56,66,65,61,56,67,81,61,85,59,62,59,73,62,74,90,87,100,94,68,94,79,66,57,88,64,63,87,66,65,83,75,79,67,62,64,88,85,59,87,85,80
Bathurst Regional,LGA10470,7,5,12,7,2,10,10,13,6,7,18,11,13,21,17,13,5,4,4,9,5,5,13,10,20,15,10,8,9,14,11,12,10,12,4,12,16,8,11,5,9,5,9,5,11,11,13,17,19,9,12,10,14,14,15,9,3,16,19,23,13,14,15,22,20,13,12,14,16,26,19,30,20,15,21,8,16,17,7,11,15,12,23,26,11,16,25,17,16,15,22,3,14,12,18,21,22,18,17,16,22,16,12,4,12,25,14,20,12,23,25,16,31,22,16,15,15,15,17,19,28,14,21,8,20,22,12,22,21,17,16,22,18,14,11,10,16,10,15,11,14,31,15,28,20,25,13,21,15,11,16,16,22,28,12,20,27,18,7,15,16,15,9,17,19,12,20,12,19,11,17,16,12,15,10,14,24,16,22,19,20,16,17,25,19,14,22,24,21,12,21,27,21,21,12,16,13,14,17,20,14,26,11,19
Bega Valley,LGA10550,16,9,7,12,1,6,10,8,6,5,1,9,6,8,11,11,5,11,5,13,14,9,4,3,12,13,6,11,7,11,3,14,13,11,10,9,9,3,6,3,9,5,14,7,10,10,8,21,17,8,14,10,12,8,2,12,9,15,5,7,14,9,8,10,3,12,6,9,13,12,10,9,14,15,4,3,11,9,12,10,11,14,16,9,14,12,5,10,7,11,12,8,11,11,8,8,7,7,14,3,9,6,6,3,5,3,18,10,9,7,6,7,10,6,8,8,14,13,10,11,7,9,11,9,8,6,7,5,7,9,16,15,12,12,11,5,5,9,6,3,5,12,5,11,12,10,6,13,12,6,9,8,6,13,7,10,18,5,7,8,9,10,6,9,9,11,10,12,15,6,7,10,6,14,8,7,8,6,5,12,9,10,8,7,7,4,4,11,7,1,9,7,7,12,4,6,9,8,13,7,2,10,12,14
Bellingen,LGA10600,1,2,0,6,3,4,0,4,3,1,3,0,1,4,1,3,1,5,1,5,0,1,4,1,7,7,3,5,1,3,1,1,3,4,3,4,10,3,2,6,3,6,1,2,3,8,5,6,2,1,4,3,7,5,2,0,3,3,2,4,9,6,4,4,5,5,3,4,4,2,2,3,5,4,3,8,3,6,14,6,3,2,0,1,1,5,1,3,3,7,2,2,4,6,1,2,10,1,4,1,7,2,4,1,5,0,1,3,0,4,2,2,0,1,4,3,0,2,0,3,2,1,1,1,1,3,3,1,1,0,3,1,2,1,4,3,7,2,3,2,2,2,1,3,2,2,2,4,4,6,1,1,0,4,1,5,0,3,1,1,1,4,2,3,1,2,3,4,2,3,1,3,6,0,0,2,3,1,3,2,6,2,1,2,3,5,4,1,1,0,0,3,5,1,0,1,7,3,3,3,2,4,1,2
Berrigan,LGA10650,1,0,0,10,1,0,1,1,2,1,0,1,2,1,0,1,0,1,4,1,0,1,0,1,1,1,3,5,2,0,1,0,1,0,2,1,0,1,0,4,0,1,0,3,0,3,1,1,2,5,2,0,0,0,3,1,1,0,2,2,1,2,1,0,8,1,2,2,1,0,3,3,5,1,4,0,2,1,2,3,0,0,1,3,4,2,2,3,2,1,1,0,1,1,1,2,0,0,1,2,2,0,2,1,3,0,2,1,0,3,2,3,2,1,0,1,0,1,0,2,3,0,0,2,3,0,1,0,3,1,1,1,1,1,2,2,6,0,1,0,0,1,1,2,0,2,3,3,6,0,1,1,0,2,0,2,6,1,1,2,1,0,3,2,1,2,4,0,2,0,5,1,2,0,5,1,1,2,3,1,4,0,3,1,1,1,0,1,0,1,2,3,1,0,1,2,2,4,1,1,2,2,2,1
Blacktown,LGA10750,151,104,134,100,121,97,114,104,104,106,133,134,141,109,130,115,113,98,112,107,102,121,136,165,152,136,144,104,108,133,122,137,114,153,150,169,179,173,191,130,149,145,131,132,159,162,147,155,149,150,169,179,130,151,131,125,140,129,152,140,164,167,137,117,107,120,133,143,150,137,193,196,197,130,157,135,130,136,125,130,125,122,139,176,186,140,180,131,142,130,127,140,128,159,167,151,181,161,156,169,156,116,113,138,110,147,127,146,158,137,135,115,149,101,136,121,137,135,151,136,186,145,146,149,126,156,129,126,142,153,180,157,200,136,159,132,150,121,122,134,140,166,163,168,189,154,195,140,119,138,157,156,150,172,171,158,192,143,157,158,156,134,163,143,176,161,168,218,163,140,170,156,167,138,155,134,138,157,170,177,184,173,184,155,148,145,164,142,152,166,182,176,183,136,168,148,161,162,134,162,157,167,187,183
Bland,LGA10800,1,1,1,1,8,0,2,0,0,2,1,3,0,1,6,1,1,0,3,1,0,0,3,6,2,3,1,5,1,1,2,1,1,3,0,0,2,2,0,3,1,2,1,2,0,2,4,5,2,0,1,0,4,5,0,0,2,2,2,0,2,1,0,0,1,1,0,0,0,0,1,0,1,0,2,3,2,1,1,3,1,0,0,0,2,0,3,1,2,2,0,1,3,0,0,1,0,2,2,0,1,3,3,2,2,2,7,2,2,4,4,2,0,0,4,4,2,2,7,4,0,1,3,6,1,1,1,0,1,3,2,2,1,2,2,4,1,2,2,0,2,1,0,0,5,2,2,1,0,2,1,1,1,4,2,4,2,3,4,3,1,0,1,2,3,2,1,3,1,3,3,2,1,3,3,1,2,5,1,1,3,5,0,1,0,2,2,0,1,3,6,1,0,1,0,3,0,1,1,1,4,1,4,2
Blayney,LGA10850,3,3,1,2,0,0,0,1,0,2,0,1,0,0,1,1,0,0,0,0,1,1,0,2,2,1,1,2,1,1,1,0,1,2,0,1,1,2,1,1,6,3,1,1,0,0,4,1,3,1,1,1,0,1,0,1,1,0,1,0,1,3,0,2,1,1,1,4,2,0,1,3,2,3,0,1,2,0,2,0,3,0,1,3,1,3,1,2,2,2,2,0,1,5,0,1,4,3,3,2,2,5,1,1,3,1,1,2,3,2,3,4,2,0,5,2,0,1,3,2,0,0,1,1,3,2,2,3,1,1,0,3,3,1,0,1,0,2,1,2,0,0,2,1,0,2,1,0,2,1,2,2,1,1,2,3,1,3,0,1,2,3,2,3,3,0,3,2,2,2,1,3,1,1,1,5,1,2,1,1,2,2,2,0,3,2,2,2,3,2,2,4,0,0,1,2,2,5,5,1,1,1,2,1
Blue Mountains,LGA10900,16,12,16,5,11,8,8,16,9,9,13,8,14,13,12,16,13,8,11,6,15,15,18,19,21,12,15,17,9,13,10,12,18,13,14,26,8,20,18,10,14,12,14,19,13,20,18,26,24,15,22,23,20,15,18,8,15,9,21,25,14,12,11,4,11,15,13,15,17,10,25,23,21,17,11,14,20,17,19,16,29,19,18,20,22,22,20,14,18,13,18,10,18,16,14,27,29,22,25,20,21,31,16,16,15,10,21,22,19,22,19,18,20,18,11,12,15,19,20,15,15,16,17,21,26,15,13,13,18,20,19,30,28,23,17,20,17,11,15,24,24,22,22,37,29,32,34,27,21,26,22,15,22,18,27,24,11,19,27,16,24,17,20,21,23,16,17,21,35,8,23,14,23,16,24,21,14,28,17,19,26,12,9,11,23,16,17,14,15,22,16,22,18,12,23,25,22,16,12,21,13,18,13,20
Bogan,LGA10950,0,0,2,2,3,0,0,1,0,1,2,1,2,6,0,2,1,1,2,1,4,1,1,2,5,2,3,0,1,0,1,0,1,1,0,4,0,2,1,1,2,1,0,2,3,0,2,3,3,1,6,0,1,0,0,2,2,2,0,0,3,2,1,0,2,1,0,2,1,0,1,2,5,1,3,2,4,1,3,1,3,2,0,1,1,1,1,2,0,3,0,3,1,3,2,6,3,1,0,1,4,0,1,1,2,1,1,4,0,2,1,1,3,1,1,1,3,5,2,2,3,3,3,1,1,5,0,1,1,2,0,2,5,1,0,2,1,3,5,2,3,2,2,3,2,2,1,4,2,0,0,3,3,4,2,0,1,2,1,3,1,2,1,0,2,3,4,2,0,1,0,2,3,3,0,1,0,2,2,9,1,6,2,4,3,8,4,2,0,0,3,0,6,8,1,0,1,2,4,3,0,3,3,4
Botany Bay,LGA11100,8,8,9,7,11,8,9,16,14,13,10,15,13,7,12,13,8,9,14,9,14,11,14,8,16,15,16,8,11,4,12,12,7,9,10,10,14,10,14,11,4,8,7,19,5,16,15,12,19,9,13,7,8,6,8,7,8,5,14,13,8,5,13,9,11,16,17,7,11,7,6,10,11,4,8,14,14,12,13,10,9,11,10,9,9,11,19,12,5,8,11,5,7,6,10,13,16,21,13,9,20,5,2,8,18,17,14,18,3,12,16,5,12,8,10,7,18,7,11,16,10,11,9,3,6,10,21,16,9,9,6,8,8,6,18,9,10,14,10,5,10,15,10,11,17,16,9,10,11,8,12,7,13,9,11,6,14,7,17,7,16,10,9,7,12,10,15,19,16,5,11,7,9,7,4,6,9,14,7,10,13,11,9,17,9,10,4,6,8,4,9,10,15,9,11,10,12,5,15,7,5,8,10,14
Bourke,LGA11150,11,6,11,6,12,9,11,9,11,13,15,12,18,9,15,11,9,8,9,8,7,11,17,17,17,15,16,6,14,5,15,12,8,17,16,11,15,14,15,9,12,10,8,10,10,10,10,19,27,22,14,12,7,13,2,2,13,7,13,15,12,15,14,11,13,15,16,12,8,16,8,14,15,17,23,8,14,12,10,12,17,14,11,15,8,15,18,11,10,6,14,11,9,8,9,9,14,6,10,6,5,8,10,11,5,11,7,15,11,6,8,8,14,13,5,4,11,10,17,7,23,7,9,6,6,8,3,11,16,10,5,14,7,9,13,11,7,7,11,9,4,8,11,17,12,7,10,12,10,6,14,11,10,16,18,9,10,5,8,15,9,12,10,14,7,17,11,17,22,11,11,9,4,10,5,15,7,15,13,17,8,15,12,6,14,9,5,12,9,7,14,13,17,15,3,5,19,8,7,8,13,11,11,18
Broken Hill,LGA11250,12,15,4,8,12,9,11,5,12,15,15,10,14,9,10,8,13,13,15,11,6,17,13,21,19,13,11,13,15,11,27,12,22,16,10,22,19,21,19,16,12,15,22,22,14,16,20,32,35,32,29,18,31,22,16,28,15,20,20,18,14,7,12,14,11,11,13,12,10,8,10,9,8,7,14,10,10,6,9,18,12,12,10,13,17,12,13,17,10,5,11,14,12,19,16,22,29,12,18,10,13,9,13,10,8,14,12,11,19,15,17,8,12,16,10,12,18,16,20,11,14,9,19,24,11,14,15,12,13,12,15,16,14,4,18,9,14,16,13,17,12,22,7,20,12,11,20,23,13,16,24,15,13,14,15,15,11,8,12,9,18,12,4,11,10,12,10,17,24,18,13,12,12,8,20,11,10,15,11,15,20,12,22,10,11,4,13,14,15,11,19,18,29,25,6,8,18,11,10,16,11,18,15,12
Burwood,LGA11300,4,6,2,5,4,4,2,4,4,3,6,5,4,3,5,9,5,4,4,2,5,4,3,7,7,2,3,2,6,2,7,6,0,5,3,2,6,2,5,4,4,6,4,4,5,5,5,4,7,8,2,2,5,6,4,2,7,7,9,5,9,6,6,6,2,3,11,4,10,9,7,5,7,7,8,6,5,3,3,3,3,5,5,2,5,6,7,7,4,3,7,5,6,5,10,5,7,9,3,8,5,6,8,4,3,5,5,6,1,7,10,3,5,7,10,7,7,8,6,8,8,7,2,3,4,6,4,6,8,6,13,8,11,8,8,8,7,13,11,9,7,11,4,8,7,8,7,4,7,6,8,8,5,9,14,5,6,6,3,7,4,8,6,8,3,6,7,12,7,5,10,4,7,7,4,5,4,5,7,9,6,6,4,3,6,10,5,7,8,1,10,6,3,5,10,7,7,6,7,4,8,7,7,5
Byron,LGA11350,8,8,5,10,12,7,9,5,7,1,7,6,10,6,6,14,6,8,2,8,5,20,13,14,15,2,6,8,3,11,2,5,12,16,9,10,7,12,5,6,7,6,10,7,9,6,10,10,16,7,10,4,7,7,8,5,11,9,9,10,8,10,4,9,7,3,5,4,8,11,9,10,13,6,7,5,7,4,7,6,9,6,5,8,8,13,10,10,6,6,8,10,8,14,9,8,11,4,13,13,5,6,11,6,6,4,4,6,12,7,15,7,5,5,11,13,7,8,7,14,24,9,8,9,9,6,8,8,7,4,9,10,9,9,8,5,7,8,5,14,4,9,8,13,8,0,8,6,7,9,6,9,4,13,7,8,14,7,14,12,12,9,12,8,12,6,9,11,13,8,9,10,7,10,8,6,10,11,13,13,21,13,12,10,11,7,7,8,16,14,9,7,8,8,13,11,5,4,8,5,5,8,7,8
Cabonne,LGA11400,2,2,2,3,1,1,1,2,5,3,1,8,1,4,3,4,4,4,0,1,0,1,1,1,4,2,5,1,0,2,2,4,1,5,2,2,7,2,1,0,4,3,2,2,5,3,3,2,6,2,5,1,0,2,1,1,4,2,1,1,9,2,5,1,3,2,3,5,2,4,5,5,4,2,0,6,3,1,1,1,3,1,2,6,2,3,2,2,3,0,1,2,4,2,2,7,4,2,4,4,3,1,4,1,1,3,2,0,2,1,7,1,3,4,3,1,1,2,2,1,6,1,3,5,3,2,2,4,3,1,8,6,8,2,4,2,5,4,0,3,4,4,0,3,4,2,4,3,0,1,5,6,6,6,0,4,3,1,2,3,4,9,1,2,4,2,8,3,7,2,4,1,3,2,5,1,5,3,3,5,5,4,4,6,3,1,5,3,6,5,8,5,6,2,2,1,5,7,5,6,3,0,6,6
Camden,LGA11450,15,4,8,6,10,10,3,5,5,11,9,9,4,8,7,6,3,4,6,5,6,8,9,18,11,14,15,9,9,11,7,15,4,9,7,11,17,9,5,5,10,14,9,6,13,11,11,9,18,12,14,8,6,15,8,10,15,18,10,13,13,10,18,10,4,17,11,5,12,17,13,15,11,12,7,17,8,3,7,11,13,11,7,14,8,11,10,9,14,12,10,9,10,13,17,13,12,7,11,10,6,10,5,12,7,12,8,16,16,12,14,11,4,11,7,7,16,22,6,12,17,13,14,9,6,12,17,16,6,24,7,22,17,15,8,15,16,17,15,16,13,10,17,21,18,20,7,14,16,11,12,18,20,16,11,16,13,14,12,12,8,9,4,8,18,18,16,19,15,11,12,17,10,10,20,4,12,12,14,19,14,17,27,14,16,10,19,11,9,17,16,21,24,17,18,33,32,7,14,15,16,22,23,21
Campbelltown,LGA11500,90,75,54,57,56,46,60,56,49,53,55,66,64,52,49,60,69,79,70,60,72,62,57,93,77,66,65,57,66,58,70,61,79,90,78,87,80,64,92,83,64,68,56,88,71,97,86,112,111,87,74,95,92,97,84,53,80,66,72,87,92,102,103,85,101,74,80,88,71,93,83,101,114,93,91,95,69,68,83,63,80,91,91,104,109,124,120,85,93,78,103,71,104,104,86,112,112,89,112,105,81,86,69,76,83,88,105,102,112,76,87,66,67,71,72,81,82,92,84,100,103,111,110,90,101,78,84,94,80,82,89,90,99,99,91,77,88,92,90,71,71,71,81,108,111,82,99,69,78,75,64,69,77,82,101,78,99,77,70,81,81,58,69,79,63,84,76,73,116,79,78,60,61,62,82,59,73,83,85,124,84,82,94,79,82,87,67,73,80,83,102,85,99,73,85,76,60,75,62,63,66,59,84,81
Canada Bay,LGA11520,7,7,5,6,6,4,9,6,4,10,6,5,12,11,6,3,8,8,4,5,11,8,10,4,9,12,10,5,7,2,7,5,7,8,12,12,5,8,6,5,11,8,14,6,4,10,10,6,5,6,6,8,5,6,8,7,5,12,3,4,7,3,17,6,9,12,7,7,4,9,11,11,6,10,7,7,6,8,10,3,6,8,10,9,9,7,4,8,13,4,11,4,12,9,7,12,9,6,10,7,11,4,5,2,13,11,6,5,7,7,9,3,8,8,8,13,9,11,10,9,8,15,13,16,7,4,9,16,9,13,7,15,13,9,11,10,7,13,2,6,5,9,7,9,13,6,10,8,13,8,7,12,9,10,17,7,8,13,11,12,8,9,8,4,8,7,11,8,15,4,15,8,10,12,8,13,14,9,13,14,16,19,10,8,14,7,7,12,13,11,19,14,5,10,10,6,9,14,10,12,13,11,12,10
