LGA,region_id,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
Canterbury,LGA11550,30,18,27,14,20,20,18,19,22,12,16,29,29,9,25,8,15,12,17,29,20,18,17,37,33,21,22,35,18,21,24,24,25,28,21,39,31,15,24,27,19,26,24,19,24,28,24,41,33,29,25,26,36,37,30,23,31,28,30,35,22,41,25,30,19,20,23,33,20,30,25,38,32,28,37,23,26,26,36,19,26,33,37,34,24,31,30,27,22,24,18,25,19,28,18,29,38,36,27,28,21,34,27,23,20,35,30,26,39,27,32,33,49,31,31,21,28,32,39,40,35,41,36,25,26,23,26,27,29,32,34,42,48,29,36,38,33,24,25,33,28,39,46,58,46,30,45,43,49,20,46,29,29,37,23,48,46,40,48,51,42,21,40,46,46,31,30,43,40,26,43,27,28,30,26,32,37,39,43,46,46,35,48,35,42,40,35,48,30,49,63,46,54,38,39,39,36,29,30,42,39,35,52,54
Cessnock,LGA11720,14,20,9,8,9,6,11,14,13,10,14,13,10,10,16,10,15,17,23,22,20,19,18,25,20,29,20,10,17,12,18,17,24,14,24,20,25,20,18,17,15,16,5,17,18,19,22,13,22,18,19,16,20,18,18,21,26,17,13,13,18,17,15,18,18,22,20,15,12,22,11,15,21,21,24,26,25,21,26,35,14,44,29,37,28,24,22,25,26,12,23,34,32,33,27,22,32,21,27,28,24,18,24,24,9,21,24,18,24,16,23,12,7,19,23,21,25,21,30,25,21,30,33,15,19,13,30,24,12,23,27,22,32,22,21,10,17,19,25,19,12,20,29,32,31,30,24,20,16,21,24,29,30,13,24,25,41,24,15,26,19,28,17,28,30,22,23,28,42,36,30,25,23,38,30,23,29,37,33,40,42,28,40,18,28,17,27,21,31,36,33,32,31,39,41,19,33,24,26,30,31,29,43,40
Clarence Valley,LGA11730,18,19,12,8,7,13,10,14,17,12,10,16,14,11,26,11,14,12,13,13,13,15,13,21,26,11,11,4,10,18,19,12,19,13,9,22,23,18,18,13,5,20,15,17,21,16,12,19,21,19,16,17,27,12,15,17,13,22,17,23,22,21,16,17,12,16,19,25,12,13,16,18,21,15,15,11,10,16,11,20,20,19,16,24,19,17,10,22,18,18,11,10,13,18,12,15,19,13,19,17,11,11,17,4,4,8,14,17,20,15,11,7,7,9,19,14,13,15,12,25,9,15,12,8,11,18,12,6,9,8,7,10,20,9,6,13,10,9,14,18,17,13,8,20,22,12,13,17,14,12,12,11,15,12,11,18,22,14,11,14,10,13,18,14,14,10,16,32,22,17,18,17,16,23,10,25,22,19,14,14,21,11,14,12,14,17,11,19,11,22,21,20,18,19,14,22,17,12,16,20,18,20,20,19
Cobar,LGA11750,5,1,2,1,0,4,1,1,5,9,8,1,4,0,1,1,1,2,1,3,2,1,1,1,4,2,1,2,0,1,4,1,5,1,6,5,5,6,5,3,0,1,6,5,4,4,1,3,5,3,0,1,4,3,2,5,3,4,2,4,3,2,5,4,1,2,3,1,4,4,6,1,1,4,2,4,0,3,4,2,4,1,3,1,5,4,1,3,3,4,2,4,5,3,3,2,2,4,2,3,2,2,6,2,0,5,2,9,3,1,2,0,5,6,2,2,3,6,3,6,3,2,3,3,2,1,4,2,3,1,0,0,1,1,2,1,2,5,4,3,1,2,6,3,5,3,3,0,4,1,7,3,2,3,3,6,5,2,2,0,4,3,1,4,5,2,2,2,2,5,2,2,1,4,1,6,2,3,2,7,3,7,1,3,1,2,6,1,1,7,6,2,5,5,3,7,3,2,6,4,5,1,7,1
Coffs Harbour,LGA11800,30,24,24,23,18,25,24,21,28,19,31,29,42,20,26,27,34,21,27,29,13,31,25,29,27,25,32,23,24,22,25,20,22,35,26,31,24,20,15,25,20,16,29,21,20,22,34,31,29,20,24,20,20,18,22,35,17,27,32,47,29,24,21,33,39,31,31,26,29,22,35,27,33,20,24,18,26,23,24,22,39,29,20,27,28,24,24,24,32,33,12,11,22,21,17,24,25,34,27,24,20,20,18,13,24,25,21,22,26,15,24,22,27,23,24,32,24,34,32,31,28,27,23,27,36,23,21,26,32,27,19,34,31,23,33,16,19,24,32,32,33,27,26,38,42,27,26,19,23,23,13,23,34,23,41,39,32,32,29,39,26,33,31,31,39,43,42,52,52,39,38,31,25,37,32,24,28,46,34,55,51,28,43,38,40,45,33,36,40,25,45,77,68,32,33,29,42,29,25,38,25,45,37,45
Coolamon,LGA12000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,3,1,0,0,0,0,0,1,1,1,2,4,0,1,2,1,0,2,1,0,1,0,1,0,0,1,0,0,2,1,1,2,2,2,2,1,1,1,2,2,3,0,2,1,0,0,1,1,0,0,0,1,0,0,1,1,2,0,0,2,2,0,0,2,1,3,4,0,1,6,1,1,0,1,0,2,1,1,0,1,0,0,2,0,1,2,1,0,1,0,1,0,3,1,2,5,2,2,0,0,0,1,1,0,1,0,1,1,1,1,1,4,0,1,0,0,0,1,3,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,1,1,1,0,2,2,0,0,0,0,4,1,2,0,0,2,1,0,0,0,3,0,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,3,2,2,0,0,1,1,0,1,0,2,2,0,2
Cooma-Monaro,LGA12050,5,0,2,0,2,1,4,1,2,0,1,3,6,1,1,2,0,1,2,2,0,2,3,2,1,2,1,2,1,1,3,0,1,2,1,2,7,0,1,6,0,1,1,0,2,1,1,4,2,1,2,2,2,2,5,3,2,2,2,2,0,3,1,0,2,2,3,4,2,1,4,5,3,5,1,3,0,3,1,0,3,2,0,5,1,1,2,3,2,2,4,2,1,1,2,4,4,2,3,3,0,2,0,1,2,2,6,5,0,6,4,2,4,3,6,4,6,2,2,2,5,5,6,0,2,3,0,3,4,1,2,1,3,1,1,2,1,3,2,3,2,1,0,0,2,0,4,7,4,3,6,9,6,3,2,8,4,5,1,3,3,1,1,7,3,4,2,0,2,1,5,4,2,3,3,0,0,4,4,11,1,1,1,0,0,1,2,0,1,2,2,0,2,1,2,1,1,3,2,0,0,2,2,5
Coonamble,LGA12150,6,2,5,11,6,1,4,2,5,3,3,4,4,1,3,2,2,5,5,4,5,5,7,4,7,2,6,3,10,8,3,6,8,7,6,5,11,1,6,5,4,4,10,6,8,3,7,6,13,4,6,3,5,5,4,2,1,7,4,5,4,5,3,2,3,3,8,5,8,7,14,7,11,9,7,4,4,6,5,3,4,6,4,8,15,11,7,1,5,6,3,9,5,8,4,9,4,7,6,4,9,4,1,2,5,2,1,3,5,1,2,1,6,1,4,3,1,2,4,2,8,2,3,1,6,2,2,2,2,3,4,5,3,2,7,1,3,2,4,6,3,5,2,5,6,4,3,8,1,2,6,3,4,11,5,3,6,6,11,3,1,3,7,1,1,1,8,7,11,5,6,9,1,3,5,5,2,3,1,6,11,5,9,8,8,2,2,3,1,4,1,13,1,2,3,8,1,7,5,4,4,6,9,4
Cootamundra,LGA12200,4,1,3,1,5,1,1,1,0,0,3,5,2,5,6,4,3,0,3,6,1,0,2,4,4,2,3,3,2,3,4,0,1,3,1,1,1,1,4,2,1,0,3,5,5,3,7,9,6,4,0,2,5,1,4,3,3,6,1,5,7,1,5,1,3,2,4,1,1,1,1,4,7,0,6,4,1,3,6,1,1,2,3,6,4,4,6,0,1,1,1,3,3,3,3,4,6,5,3,2,1,2,3,0,0,4,4,4,2,4,1,1,3,0,4,0,0,2,7,1,2,3,0,4,4,1,5,0,3,7,2,2,3,8,1,4,6,2,2,3,8,4,3,1,3,2,1,4,4,5,2,5,4,11,4,3,3,3,2,3,4,1,1,1,1,4,8,8,4,2,5,2,2,6,3,3,4,6,1,4,3,5,3,1,4,3,2,5,5,1,1,4,4,3,3,2,2,4,2,4,2,5,6,5
Corowa Shire,LGA12300,3,3,2,1,4,1,0,1,2,9,2,2,0,1,4,0,4,0,2,0,4,2,3,2,2,1,3,1,4,1,3,3,1,3,4,1,2,8,1,3,0,1,1,3,1,5,4,2,5,4,1,2,1,2,0,4,1,0,6,1,5,3,1,3,0,2,3,0,3,4,4,1,4,2,4,0,4,4,4,4,9,3,1,3,3,4,3,3,6,3,5,1,3,4,7,4,3,8,5,2,2,1,0,3,3,2,1,2,3,3,2,3,4,2,1,3,3,4,4,5,5,2,6,2,3,0,6,2,5,1,2,7,0,1,3,4,1,9,3,3,4,3,1,5,1,0,2,3,3,2,4,2,2,6,2,4,2,2,4,1,1,3,1,0,1,8,0,2,4,5,8,1,1,3,1,2,3,7,6,7,6,3,1,4,1,0,4,4,5,2,1,7,1,2,5,1,3,4,8,0,4,4,1,4
Cowra,LGA12350,6,2,2,7,4,1,3,4,5,0,6,5,7,7,4,5,3,6,8,7,6,2,1,10,3,7,11,12,8,3,6,10,4,5,8,12,17,8,10,4,10,10,9,4,11,5,7,11,11,9,8,6,4,6,14,6,5,7,9,4,13,5,12,8,5,13,15,11,8,4,1,5,10,5,4,6,1,5,3,3,4,4,6,5,3,1,4,5,4,7,1,3,4,5,5,4,5,8,7,5,0,4,5,5,4,7,5,4,4,2,7,5,6,6,2,2,9,6,11,10,4,6,3,4,6,4,7,9,11,11,8,15,10,7,9,9,9,7,2,7,8,5,8,10,4,10,8,5,4,8,6,4,2,3,8,6,7,6,5,4,4,7,5,5,3,7,7,13,6,5,10,5,9,7,6,5,8,5,7,2,13,3,4,6,4,6,9,5,6,2,3,10,9,7,3,12,8,3,8,3,7,9,3,7
Deniliquin,LGA12500,3,4,3,3,1,1,2,4,4,0,1,0,4,4,3,4,2,3,1,0,0,5,5,4,9,9,1,3,0,1,7,3,6,5,4,8,7,2,3,5,7,3,5,3,0,6,3,3,1,2,8,2,2,3,1,1,4,3,5,5,7,1,6,4,5,2,3,0,3,2,1,2,5,3,3,1,1,0,6,3,3,4,3,3,8,0,5,0,8,4,1,2,6,6,1,5,2,4,5,2,1,3,2,1,6,2,1,4,7,4,1,3,2,7,6,1,2,2,2,5,3,2,4,3,3,2,5,4,6,1,3,2,8,4,6,5,2,2,6,1,4,4,0,8,7,1,3,1,1,3,3,3,4,5,2,3,3,4,3,4,5,2,5,3,9,6,8,1,3,1,6,2,5,3,7,7,4,5,2,12,7,0,3,2,3,2,3,3,6,4,7,3,2,1,3,2,4,0,5,5,4,1,4,4
Dubbo,LGA12600,18,21,15,10,7,6,14,12,10,17,11,12,23,19,14,16,11,16,17,20,15,21,7,22,11,26,19,23,14,12,12,15,17,17,18,18,22,23,25,28,37,31,22,36,39,45,33,39,36,35,46,35,45,45,31,34,34,42,33,43,37,34,34,27,20,44,37,29,38,40,24,30,51,33,34,30,26,18,24,18,31,28,29,35,35,25,24,26,20,19,21,18,33,30,25,34,23,20,36,23,25,22,17,30,36,30,18,31,24,27,11,34,23,14,17,28,12,34,28,33,25,18,17,27,27,12,19,29,21,18,21,27,35,27,39,27,26,14,23,24,19,31,30,24,34,28,27,20,23,20,16,41,19,29,28,20,22,25,20,32,21,26,34,30,24,22,29,26,32,36,30,21,23,22,20,40,37,28,27,27,23,36,22,24,28,21,28,27,27,41,30,34,45,26,27,28,30,17,16,24,31,28,41,30
Dungog,LGA12700,1,0,0,0,0,1,1,2,1,2,1,1,2,1,1,0,0,1,1,1,2,1,3,0,1,3,4,2,3,3,0,2,2,4,3,2,3,2,8,1,3,4,0,2,2,1,0,5,3,2,3,2,2,0,0,3,3,0,3,1,4,3,4,1,0,2,0,1,0,2,0,0,4,1,0,0,0,0,4,3,4,4,3,5,6,4,3,2,6,1,1,1,2,2,3,3,3,3,3,7,5,3,4,0,0,0,7,2,2,1,2,0,0,1,2,2,1,0,2,3,0,4,2,2,4,0,1,1,1,3,3,1,2,2,1,0,2,1,1,1,0,0,1,1,1,1,0,0,1,1,2,1,0,1,3,1,1,2,3,3,1,4,5,2,3,3,1,1,0,3,1,1,3,1,4,2,6,2,2,6,3,2,1,1,1,1,0,2,2,5,0,4,6,7,3,1,1,3,4,4,0,1,2,1
Eurobodalla,LGA12750,16,8,5,11,11,6,4,4,11,10,1,9,9,11,2,9,11,5,9,6,6,15,13,5,7,8,5,6,7,9,11,13,12,13,11,16,19,11,9,7,9,10,16,7,15,14,14,16,15,23,12,13,18,16,16,9,13,7,11,14,13,16,9,15,12,7,9,14,9,8,14,17,13,15,19,15,8,18,15,11,11,13,11,9,14,12,11,9,5,11,7,8,8,7,14,21,12,19,10,12,3,11,10,8,11,9,15,14,14,10,11,12,9,12,11,5,5,27,11,17,9,9,12,12,14,14,10,12,17,7,21,15,14,8,10,10,5,10,16,10,13,15,13,13,16,10,14,17,19,10,12,9,9,12,10,15,19,16,22,17,12,6,15,20,12,22,6,12,12,13,17,9,13,13,8,19,13,16,19,19,17,17,15,5,9,12,7,8,9,5,13,17,25,19,20,13,15,7,20,13,13,21,11,22
Fairfield,LGA12850,47,62,62,26,34,36,40,41,27,38,35,46,56,48,43,51,30,40,50,37,40,40,42,61,52,55,58,34,38,55,37,48,48,58,62,77,83,69,76,48,69,77,77,63,72,67,79,58,77,67,67,37,61,61,58,51,52,57,60,69,53,77,62,63,62,49,67,63,58,68,68,69,72,66,61,55,57,45,59,57,83,71,73,66,71,57,51,45,57,44,36,49,55,66,64,66,67,53,89,49,42,52,52,72,57,52,66,72,58,60,67,43,50,45,56,61,54,49,67,68,63,39,64,61,54,66,61,51,61,53,61,63,72,71,55,67,66,55,62,49,63,68,51,61,76,53,64,53,62,57,55,46,46,67,68,77,49,48,60,61,60,48,59,82,59,64,80,70,61,76,80,67,69,62,45,63,68,66,70,84,73,68,85,60,61,46,49,71,44,87,72,67,63,79,68,54,79,60,58,65,68,78,58,79
Forbes,LGA12900,2,10,2,3,4,3,6,0,5,3,0,4,1,5,1,5,2,3,6,4,8,3,2,2,2,4,1,4,2,1,6,6,6,9,5,3,2,1,3,8,2,3,3,3,3,4,7,1,2,3,3,8,1,8,2,3,3,4,7,5,6,1,3,5,3,2,4,6,1,1,5,2,6,4,3,0,4,7,7,1,3,4,4,9,5,2,6,4,5,4,4,7,9,2,4,5,9,12,12,15,9,8,8,1,9,6,3,5,7,3,6,4,6,9,6,3,8,5,6,2,8,10,4,2,10,5,6,9,3,7,7,5,17,5,7,8,8,6,6,4,3,7,9,4,9,14,3,7,5,7,4,6,8,5,5,4,12,10,4,2,3,5,5,9,6,6,5,9,7,5,4,4,4,4,3,5,10,8,3,7,15,10,6,4,6,3,4,5,5,5,10,8,6,11,11,9,5,4,3,5,3,7,12,8
Gilgandra,LGA12950,1,3,3,2,2,1,3,1,2,9,4,4,3,4,5,4,2,1,0,3,1,5,1,1,2,3,3,2,0,4,2,3,1,3,1,2,3,0,1,1,3,5,1,4,5,7,6,2,5,7,1,3,7,3,2,0,3,1,13,1,6,5,6,5,6,1,8,3,6,4,2,3,5,2,5,2,0,3,2,0,1,4,6,7,3,3,4,5,1,1,3,4,3,2,4,6,6,3,2,5,3,1,2,4,0,2,2,3,5,2,4,3,1,1,1,1,2,2,2,1,9,2,2,0,1,2,3,1,3,1,0,1,1,4,2,2,1,5,1,1,3,3,3,6,4,1,3,1,2,0,3,0,3,4,3,6,2,3,1,1,5,2,2,0,2,0,3,5,0,1,4,3,1,1,2,1,3,4,3,5,11,2,2,4,3,1,5,0,3,4,2,5,2,5,2,3,4,5,3,0,1,3,4,1
Glen Innes Severn,LGA13010,2,1,2,0,3,2,1,1,0,4,8,3,1,2,0,2,9,3,3,10,1,1,1,1,3,4,2,1,1,2,0,1,0,3,4,0,2,4,1,5,4,0,4,4,1,5,0,7,4,9,4,5,4,6,3,4,3,1,8,5,13,4,8,9,1,3,5,4,5,12,4,12,10,8,5,7,2,8,9,3,5,5,5,6,6,5,3,5,4,6,2,4,3,1,5,5,6,2,2,2,6,3,5,2,4,3,4,3,4,3,0,5,5,6,2,1,2,3,4,5,2,0,1,4,4,1,0,4,2,3,6,1,0,3,1,3,5,3,6,1,1,4,4,6,6,0,2,3,0,2,1,4,3,1,3,5,5,3,2,5,0,1,0,5,2,3,2,3,3,2,0,1,2,0,2,4,4,1,1,4,1,3,8,5,2,3,7,9,9,12,9,5,13,7,4,7,5,12,2,1,5,12,7,1
Gloucester,LGA13050,1,0,0,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0,0,1,2,2,1,2,0,1,0,0,3,2,0,0,1,0,2,2,2,0,1,3,1,1,3,0,1,0,3,0,1,2,3,1,1,1,2,3,0,3,1,0,4,1,3,0,2,1,1,1,0,2,1,1,1,2,1,4,1,2,1,1,1,1,0,3,2,2,3,0,2,0,0,3,2,1,1,1,0,2,3,2,1,0,3,0,3,2,3,9,2,0,0,1,0,0,0,5,0,4,1,1,1,1,2,1,0,2,0,4,2,3,1,1,0,0,2,0,0,3,0,2,1,1,0,3,1,3,0,0,3,0,0,1,1,2,0,1,2,0,2,1,3,0,2,3,0,2,3,0,0,2,3,0,1,1,1,0,2,1,1,0,2,3,2,0,0,3,1,2,2,1,1,1
Gosford,LGA13100,28,42,16,32,28,24,19,28,29,32,20,26,41,38,23,34,33,31,42,18,38,40,34,37,42,34,42,36,25,34,33,31,38,37,37,47,56,44,45,45,39,34,33,27,50,41,50,42,47,46,57,44,42,56,41,43,51,37,46,74,59,65,47,50,37,33,42,55,44,65,41,45,48,44,66,35,41,37,44,37,47,32,56,55,59,45,50,37,37,49,43,39,42,38,50,46,40,36,63,49,38,33,44,39,47,60,35,49,54,37,46,36,26,29,30,50,43,55,44,51,53,57,42,26,37,48,34,41,55,44,53,52,47,53,43,42,41,33,27,41,44,47,47,45,47,31,46,35,38,24,34,28,27,27,28,41,38,33,50,40,40,28,37,45,29,41,38,39,35,27,32,23,40,31,29,45,51,35,42,62,45,37,51,27,40,33,26,37,45,29,30,50,58,49,42,52,35,62,37,49,37,65,46,77
Goulburn Mulwaree,LGA13310,13,5,2,8,7,4,5,9,7,8,8,13,15,13,3,3,7,13,12,5,7,12,8,8,10,16,14,16,11,13,16,8,9,9,9,11,14,12,11,19,16,10,9,8,10,10,18,13,18,5,4,2,6,12,7,10,7,12,14,12,16,22,7,11,13,10,16,13,8,8,12,8,6,7,7,8,10,7,10,16,8,12,9,3,9,7,8,11,11,9,11,8,6,8,4,10,14,13,14,12,8,10,11,9,9,12,13,16,19,17,9,6,10,7,9,20,9,8,10,11,13,14,14,6,11,12,14,5,17,12,12,12,14,18,7,15,13,20,5,4,8,10,5,12,15,12,14,20,10,14,9,5,5,8,13,14,9,8,7,8,9,6,8,13,7,8,8,7,7,4,16,8,5,12,6,11,5,10,6,11,15,11,19,8,2,12,9,10,9,10,8,12,14,6,7,15,9,11,13,9,9,15,7,10
Great Lakes,LGA13320,10,8,10,1,7,3,6,8,4,7,4,16,15,12,8,12,13,8,7,12,3,8,13,20,22,17,13,14,9,8,6,12,11,12,12,13,25,11,12,8,11,11,12,17,9,7,7,11,16,19,16,10,9,11,6,10,9,14,9,19,19,15,10,9,13,23,9,18,9,12,8,10,13,13,14,8,18,5,8,7,10,13,12,17,21,19,19,4,14,9,14,10,17,9,20,14,21,13,16,8,16,5,14,17,15,17,15,31,29,13,17,19,12,20,15,17,13,15,16,22,27,17,10,16,14,19,14,9,9,16,19,10,26,19,18,10,19,5,23,19,14,18,14,22,28,14,9,19,17,12,18,13,12,17,14,22,10,20,24,18,15,19,9,16,21,16,26,23,17,13,12,12,17,8,13,12,18,18,17,17,19,11,20,14,13,13,11,14,18,12,23,14,26,10,17,16,14,14,16,9,15,21,16,20
Greater Hume Shire,LGA13340,4,2,2,0,1,2,1,3,4,2,0,1,1,1,0,0,6,2,4,0,1,2,3,3,1,0,3,0,0,0,1,0,1,1,0,1,1,3,2,1,6,0,3,1,2,2,1,5,4,1,1,2,2,1,1,1,1,0,0,1,0,1,2,0,1,0,3,1,1,4,0,1,0,2,2,2,6,2,1,2,1,0,0,1,2,0,1,1,3,1,4,2,2,2,0,3,4,5,1,2,0,5,1,1,4,0,5,2,4,5,2,2,1,0,1,0,6,2,2,0,1,2,1,1,0,1,1,0,6,1,0,2,2,0,1,2,1,0,3,0,2,4,1,1,2,2,2,2,1,2,1,4,3,0,0,3,2,2,1,1,0,0,0,0,3,1,0,0,2,1,0,0,0,0,2,3,3,3,2,2,2,5,0,1,0,0,2,1,2,1,3,4,1,0,3,2,1,1,0,0,4,0,2,1
Greater Taree,LGA13380,13,9,17,9,14,10,12,18,17,22,18,19,22,12,15,15,15,18,14,20,23,17,11,17,27,26,17,28,13,12,20,13,21,30,23,20,27,19,24,11,20,23,19,20,21,27,30,21,24,25,23,12,18,35,15,25,17,17,29,30,21,21,23,31,16,14,22,22,16,30,24,22,36,26,19,29,25,16,22,15,14,33,17,30,33,27,30,24,16,20,25,20,19,33,27,23,24,31,33,38,22,22,17,20,20,26,32,25,24,25,21,14,16,31,14,19,25,24,25,31,21,26,25,27,18,13,27,25,18,14,24,24,38,19,22,12,6,31,16,22,17,9,27,23,20,23,13,16,24,13,21,23,15,19,22,28,19,23,22,26,25,20,19,27,30,18,26,24,29,29,16,18,15,15,13,8,16,19,20,22,21,19,27,23,25,20,15,16,19,20,16,20,22,20,16,13,18,18,21,11,21,29,29,23
Griffith,LGA13450,14,7,5,9,8,7,6,5,4,5,8,8,5,14,3,6,7,9,9,9,14,8,11,15,18,13,22,11,11,12,15,20,19,11,16,19,12,18,12,11,6,12,9,5,14,12,10,15,28,13,13,19,19,17,6,11,16,11,25,19,9,15,10,12,9,15,16,15,8,15,16,15,14,16,14,8,7,7,9,11,6,9,7,13,8,14,16,10,10,13,15,9,11,7,13,16,13,11,14,12,17,13,10,12,15,12,12,11,12,17,14,8,13,9,11,11,3,8,13,10,13,12,15,11,7,10,10,13,17,17,8,18,21,6,14,9,12,11,17,10,18,8,8,11,20,12,22,11,10,15,21,8,21,18,14,18,18,9,19,11,15,23,9,19,16,16,24,13,20,13,10,12,18,12,11,18,24,22,15,25,15,23,18,10,11,14,12,13,24,11,22,22,21,17,25,16,21,14,28,32,19,18,22,23
Gundagai,LGA13500,0,1,1,0,0,0,0,0,0,2,1,1,1,2,1,0,2,0,2,0,0,1,1,0,0,0,0,1,0,2,0,1,1,0,2,0,0,1,0,1,1,1,1,0,1,0,0,2,1,3,0,0,0,1,0,1,0,0,1,1,2,1,0,5,3,1,2,1,1,1,3,1,1,3,5,1,1,1,1,1,0,0,1,2,3,1,0,1,4,0,1,0,1,1,2,2,2,5,1,0,1,3,2,6,1,2,0,1,1,2,1,1,4,0,3,3,0,5,3,0,1,2,1,1,1,0,0,2,0,1,1,1,0,1,1,0,0,3,5,0,1,1,1,5,2,2,2,1,2,0,0,0,1,0,3,0,5,0,1,1,1,0,2,0,0,1,0,0,1,2,2,1,2,1,1,0,1,1,0,3,1,0,1,2,3,0,2,2,0,2,1,1,3,1,0,2,1,1,0,3,0,1,1,0
Gunnedah,LGA13550,2,2,1,2,2,5,2,2,4,8,2,3,2,1,0,1,0,2,2,4,2,0,4,6,4,2,3,0,0,4,4,4,3,1,1,3,6,2,1,3,3,3,5,4,3,9,4,7,12,3,9,7,6,5,3,4,4,7,8,3,4,8,6,3,3,2,5,5,8,3,4,4,11,9,4,9,3,5,9,3,1,2,9,5,7,6,2,6,8,2,2,6,4,4,10,7,6,4,5,4,7,7,9,3,7,3,3,3,10,3,6,11,1,6,5,8,15,3,4,6,8,6,5,5,4,5,2,8,1,15,6,12,16,8,6,3,3,7,3,8,4,5,2,6,11,18,9,5,3,6,3,5,5,12,6,6,8,6,18,4,3,11,8,6,6,9,5,7,4,5,11,7,5,2,4,8,13,12,11,13,5,8,4,8,2,6,10,1,10,1,5,6,6,6,4,4,6,6,5,3,2,4,4,8
Guyra,LGA13650,2,0,3,3,3,5,4,9,5,7,8,0,5,4,1,4,2,2,3,3,7,5,7,5,6,1,2,4,5,5,9,0,4,1,4,0,3,4,3,3,2,0,3,11,3,8,3,4,3,4,3,1,1,0,2,5,1,1,3,1,0,5,4,0,2,4,1,2,2,1,3,1,4,5,1,5,3,5,4,1,1,1,1,5,1,0,3,0,3,2,2,1,1,6,5,4,1,2,0,3,1,1,0,2,0,3,4,5,2,2,0,3,2,1,1,1,2,2,1,4,3,0,0,2,0,4,1,2,4,1,5,4,1,2,5,2,1,2,1,1,2,1,1,0,4,5,4,3,0,1,4,3,2,1,3,0,2,3,6,2,2,4,1,1,1,4,3,4,3,3,3,3,4,1,3,0,2,1,3,7,2,1,2,3,6,3,2,2,2,0,3,2,2,1,4,3,4,7,1,6,3,4,3,2
