LGA,region_id,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
Gwydir,LGA13660,1,2,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,5,0,1,2,1,1,0,0,0,2,3,2,2,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,2,1,2,1,1,1,1,1,2,0,1,3,0,0,0,0,0,2,1,1,1,0,2,0,0,1,0,0,2,1,1,0,1,0,2,1,1,3,2,1,1,0,0,0,0,2,0,0,0,1,2,2,0,0,1,1,1,2,1,1,1,1,1,0,0,1,2,0,1,2,0,0,4,0,1,0,1,0,1,0,1,2,0,0,0,0,3,0,1,0,0,0,0,3,2,1,2,1,1,1,3,1,2,1,2,0,0,2,0,1,4,0,0,2,2,2,0,2,3,0,0,1,1,3,1,0,0,1,2,2,0,2,2,3,2,3,0,0,0,0,2,2,0,2,1,1,2,1,1,0,0,2,0,0,1,3,0
Harden,LGA13700,0,0,1,1,2,1,0,1,0,1,1,3,0,4,0,4,2,0,0,0,0,3,0,0,3,3,0,2,1,2,0,0,2,0,1,0,1,2,1,0,0,3,3,1,0,3,3,0,1,1,0,0,0,1,1,2,0,1,2,1,2,3,2,0,0,1,0,1,0,0,2,3,3,0,2,1,2,2,2,0,0,2,0,3,0,1,0,0,0,0,0,2,2,0,1,4,1,1,3,1,1,0,1,2,0,2,5,1,2,0,0,0,0,1,1,1,0,5,1,2,1,0,0,0,0,1,1,2,0,0,0,3,1,1,0,0,0,0,1,4,1,3,1,0,1,0,0,0,2,0,0,0,2,2,0,0,3,0,2,0,3,0,0,2,2,0,3,0,0,1,3,4,0,0,0,1,2,1,0,1,0,1,0,2,0,3,0,0,5,0,1,0,0,1,1,0,2,0,1,0,0,2,0,1
Hawkesbury,LGA13800,24,15,26,11,11,9,4,8,11,10,15,16,14,8,11,9,10,8,5,15,8,9,17,20,23,20,12,12,9,10,9,12,11,19,25,23,22,16,12,25,9,9,19,16,14,25,17,18,18,31,30,21,11,19,21,20,18,16,17,22,23,28,20,15,18,18,14,19,18,21,21,21,26,28,21,16,21,17,15,22,25,18,26,28,22,21,20,12,22,17,19,24,8,26,13,22,19,19,20,21,14,20,16,22,21,17,27,22,25,16,21,16,8,15,15,15,12,13,17,20,26,17,8,28,16,24,16,11,27,29,30,24,15,20,22,14,28,22,17,10,27,22,19,24,18,13,23,23,15,24,16,20,21,23,23,16,21,20,22,27,26,17,14,25,26,15,11,14,18,11,37,19,19,19,18,23,55,24,27,25,34,17,42,39,23,25,19,18,31,23,23,30,32,22,18,24,16,20,21,22,26,26,26,23
Hay,LGA13850,2,1,5,2,2,0,2,0,0,0,2,1,0,1,0,2,1,0,4,1,1,5,2,2,4,2,0,0,1,1,3,4,0,0,1,3,1,2,1,2,2,1,2,4,1,0,1,1,0,1,2,1,2,3,3,0,1,2,2,1,1,3,0,1,0,1,1,1,2,1,3,2,2,0,0,2,1,0,2,0,0,0,1,2,0,2,3,3,3,2,0,0,2,0,2,1,1,2,5,3,3,0,2,0,0,2,2,2,1,1,0,2,2,3,0,2,0,0,0,1,0,1,2,1,2,0,5,0,2,2,6,2,1,1,1,1,0,0,0,0,1,0,1,2,1,3,1,0,0,4,3,0,2,2,5,0,1,1,2,1,6,0,1,1,2,0,1,8,2,0,2,2,1,3,2,1,0,1,1,0,1,1,0,0,0,1,2,4,0,1,4,2,0,2,0,1,0,5,0,0,1,0,1,1
Holroyd,LGA13950,29,24,20,26,24,13,26,15,20,21,28,18,31,16,33,26,26,19,22,33,37,24,24,35,32,32,28,28,17,20,25,22,30,34,24,38,53,35,20,31,30,31,20,24,29,28,27,24,28,26,32,18,35,33,30,32,23,37,33,53,34,42,31,27,29,27,36,36,34,41,21,40,29,30,46,34,30,25,24,41,25,26,42,44,38,23,39,33,31,37,27,30,43,30,34,35,51,40,56,46,40,24,31,36,38,30,33,37,31,36,28,27,26,24,19,37,33,26,43,40,41,26,39,24,22,30,34,42,30,37,36,64,44,42,44,31,33,23,34,35,33,43,42,42,31,37,37,42,41,27,22,41,38,43,40,39,32,41,46,39,38,26,28,27,24,55,37,40,36,31,51,33,26,33,37,42,36,34,19,39,34,32,40,37,30,40,28,42,56,55,36,46,45,27,47,40,28,30,39,26,35,20,61,39
Hornsby,LGA14000,7,9,9,9,8,8,10,13,10,8,9,11,20,14,7,14,17,10,12,7,11,10,17,13,13,25,16,10,14,11,17,8,16,18,23,14,22,12,20,9,12,8,10,17,14,15,12,13,16,14,17,12,13,13,14,16,7,13,21,20,22,22,18,22,21,12,17,18,13,8,21,24,25,14,19,13,22,22,16,14,16,22,15,9,26,18,28,10,14,24,17,12,15,18,19,16,27,17,13,18,13,16,27,14,11,19,18,10,14,23,21,20,21,17,18,20,7,14,18,24,23,17,12,5,10,16,12,14,14,16,21,18,26,14,19,20,15,18,19,22,17,13,15,14,21,22,23,18,14,10,13,30,15,17,15,25,16,11,15,23,20,13,15,21,16,14,19,19,22,21,14,14,16,12,13,18,15,20,17,21,21,15,23,11,11,15,20,17,16,8,13,18,20,8,16,31,16,15,8,12,17,19,15,22
Hunters Hill,LGA14100,2,3,0,0,1,1,0,0,0,1,1,1,0,1,2,0,3,2,0,0,0,0,5,1,1,1,1,2,0,1,0,1,2,3,1,0,2,1,1,3,3,2,0,2,3,1,1,2,5,1,0,0,2,0,0,0,1,0,0,1,3,0,2,1,0,0,0,1,1,2,2,0,0,0,3,0,2,0,1,1,1,1,0,0,1,0,1,0,0,0,2,1,0,0,0,3,0,1,0,0,0,1,5,1,1,2,4,3,0,0,3,5,2,0,3,2,2,2,0,0,0,5,1,1,3,0,0,0,0,2,3,1,0,1,2,2,1,5,0,1,2,1,2,3,3,0,0,1,2,0,1,3,0,1,2,3,2,2,2,1,0,0,1,1,1,1,2,1,0,1,0,2,1,1,1,3,1,1,1,2,2,4,4,3,3,3,1,0,0,2,2,1,2,1,0,0,2,0,2,1,1,2,3,0
Hurstville,LGA14150,9,2,7,3,5,5,5,7,4,8,7,7,5,7,6,10,9,3,2,6,8,5,6,16,8,5,12,7,9,2,9,13,10,19,15,12,6,14,16,10,17,17,15,5,13,19,11,16,17,13,15,18,11,15,17,11,17,17,23,14,12,22,22,16,26,15,21,14,16,16,38,29,25,14,14,19,14,18,25,16,10,26,35,21,27,17,19,40,17,28,18,19,18,18,13,18,23,17,19,19,13,20,19,16,11,21,20,38,11,12,27,16,9,18,10,15,16,17,11,17,18,9,20,22,13,15,17,18,16,14,15,25,16,10,19,20,20,20,11,19,15,19,26,26,22,22,22,12,11,20,20,15,17,20,23,24,23,20,23,14,10,15,17,18,14,13,28,16,23,20,27,29,14,21,18,18,15,22,18,26,17,15,21,20,10,15,19,12,11,20,21,16,22,28,20,11,13,18,20,26,23,28,26,16
Inverell,LGA14200,2,4,16,8,4,6,7,6,5,4,15,5,12,12,8,8,5,9,6,7,9,15,10,10,7,12,6,4,7,9,10,8,10,8,5,5,13,7,7,9,6,7,3,3,9,11,9,8,16,5,5,6,6,8,13,12,8,5,8,7,13,6,13,4,11,11,12,14,5,11,8,7,4,7,7,5,10,10,14,15,9,11,10,4,4,5,17,8,7,8,9,7,10,22,6,7,6,18,13,20,9,7,8,0,5,6,10,10,8,11,5,11,11,3,13,12,9,8,8,11,6,3,11,9,9,7,6,15,5,5,7,14,16,12,12,10,8,8,4,4,10,16,19,10,9,6,12,5,9,4,6,10,7,9,11,12,9,18,18,6,17,11,15,10,12,11,22,12,15,15,15,7,12,9,14,3,10,10,15,12,24,4,20,10,17,8,9,6,15,5,20,13,8,4,3,11,11,6,16,15,7,8,14,10
Junee,LGA14300,8,0,5,1,3,1,2,2,1,1,3,6,4,1,1,2,1,1,0,2,1,4,1,2,3,0,1,3,1,0,3,3,3,2,2,2,3,2,3,1,2,5,5,0,4,3,2,3,4,1,2,0,2,1,2,0,1,1,1,2,2,4,1,1,2,0,4,2,1,3,1,1,5,0,0,4,1,0,1,1,2,1,3,3,6,3,0,2,1,3,4,1,4,0,0,1,1,5,0,1,1,2,0,1,5,1,3,1,0,2,1,3,3,3,1,3,3,0,0,2,4,3,1,0,2,2,1,6,1,1,1,3,0,1,4,2,2,3,3,1,2,0,0,2,0,1,1,1,3,1,5,0,1,1,0,0,0,2,0,1,2,0,3,7,2,1,2,1,0,2,0,0,2,1,0,1,0,0,2,5,1,1,2,1,5,4,2,0,0,1,2,1,7,1,6,1,5,4,3,1,3,4,1,6
Kempsey,LGA14350,18,22,11,15,12,19,17,14,23,17,15,21,24,18,7,14,18,23,22,9,12,23,15,16,13,16,17,19,14,22,19,14,18,25,32,19,35,29,16,15,16,14,31,23,24,16,27,23,27,19,21,19,13,21,19,17,24,25,16,24,16,12,12,26,20,9,22,16,14,15,18,17,34,18,15,10,10,19,12,22,14,18,17,23,20,10,12,16,19,18,18,22,17,13,18,22,22,9,21,18,19,18,21,6,22,13,22,17,28,14,22,20,34,28,14,27,37,23,12,25,31,20,19,27,22,19,17,11,9,14,15,10,21,18,9,15,24,16,13,17,18,15,25,16,26,8,18,16,10,15,20,16,24,12,10,9,14,13,17,11,21,19,17,12,15,25,28,22,21,14,28,13,14,16,21,14,22,21,16,22,25,16,18,11,11,14,7,16,20,25,20,27,22,22,21,21,26,16,8,18,16,22,29,22
Kiama,LGA14400,4,3,2,0,1,1,3,5,2,1,1,1,5,3,2,1,1,1,1,1,2,1,0,3,2,3,3,1,2,3,4,4,1,1,2,2,7,1,4,5,2,2,1,3,6,2,2,2,3,7,3,4,1,2,5,2,4,5,3,4,4,0,0,0,5,1,1,3,3,10,3,6,6,4,2,2,7,3,3,3,2,2,1,1,6,1,2,1,3,2,2,2,3,1,1,6,3,3,1,4,2,2,3,2,2,2,3,2,5,3,3,1,3,1,0,0,3,2,0,7,3,4,4,2,2,0,2,2,6,3,0,5,4,3,4,0,2,2,0,2,1,1,2,1,2,3,6,1,1,3,2,2,5,2,3,3,5,6,2,2,3,1,0,3,2,2,3,3,0,2,6,7,1,0,5,3,7,2,1,6,0,3,2,3,1,2,1,5,1,3,6,4,3,3,7,2,1,2,1,4,3,4,5,4
Kogarah,LGA14450,7,7,9,7,7,0,3,2,2,4,3,2,4,6,6,5,3,5,9,4,4,5,1,4,11,6,4,7,7,15,4,11,6,3,7,4,6,7,11,11,11,12,10,16,9,6,9,6,6,5,11,5,6,3,7,4,12,9,6,8,16,8,19,6,13,13,13,10,14,12,6,12,18,10,14,9,4,5,11,13,14,6,11,15,8,14,10,18,10,13,7,6,8,10,15,16,6,13,12,10,9,9,8,7,11,11,10,9,11,9,13,11,14,12,11,8,7,4,4,10,7,7,20,15,8,5,8,7,8,9,6,12,10,8,13,13,14,11,15,9,8,15,4,16,8,11,9,15,16,4,12,10,12,12,8,12,19,13,10,17,14,11,7,11,5,17,11,14,12,10,14,15,6,12,8,8,8,9,15,20,6,15,17,14,19,11,24,13,13,14,8,14,15,12,20,19,19,15,15,14,17,11,17,11
Ku-ring-gai,LGA14500,5,3,1,4,1,4,0,3,2,3,2,3,3,6,5,3,4,3,6,4,3,2,2,5,7,6,3,2,5,6,9,4,4,2,1,3,2,11,3,3,8,4,4,8,0,7,13,7,8,3,4,3,3,5,3,3,10,1,2,4,3,13,7,5,3,3,8,6,5,4,8,5,8,5,5,7,7,3,7,4,7,6,5,5,0,11,7,8,3,6,6,3,5,5,9,12,4,5,9,7,6,9,8,5,5,5,4,6,6,10,13,7,5,4,5,2,2,3,9,6,6,3,5,5,5,6,4,8,4,5,5,6,10,6,9,10,2,6,6,8,0,5,5,4,5,7,4,5,2,8,4,7,4,5,2,8,10,2,9,7,8,8,5,3,6,9,6,7,7,7,13,5,4,8,5,7,4,7,16,9,8,11,9,9,6,9,3,11,8,14,6,6,1,5,7,7,6,4,10,3,4,8,10,8
Kyogle,LGA14550,4,0,3,2,1,1,7,1,7,0,3,0,2,2,2,2,4,5,6,1,5,3,5,3,1,2,3,1,1,2,3,4,1,4,5,5,4,6,3,3,5,3,2,2,0,1,2,3,2,1,6,2,2,4,0,5,5,3,1,2,7,3,2,0,2,1,0,2,7,0,1,8,0,5,6,1,0,3,0,8,1,1,4,3,5,2,2,6,2,5,3,1,4,2,1,3,6,2,3,2,4,2,5,4,2,1,1,6,3,10,6,2,3,6,4,5,5,5,9,5,3,6,5,5,3,7,7,4,3,5,4,3,3,2,5,1,3,9,0,1,4,6,0,5,2,5,4,2,3,1,2,4,3,4,3,2,2,1,10,6,4,1,1,0,0,3,5,1,3,2,3,1,3,3,3,5,0,2,2,5,3,4,0,1,2,4,5,4,4,1,3,2,4,1,3,0,2,6,2,3,11,1,2,1
Lachlan,LGA14600,5,5,7,7,6,4,6,7,5,5,2,9,7,8,9,1,4,3,7,7,8,11,8,3,8,4,1,2,7,10,2,4,6,5,9,13,4,4,7,3,3,5,1,9,9,4,5,9,18,4,1,5,8,5,7,2,6,9,6,9,3,4,4,6,6,2,8,5,2,12,3,3,5,9,4,5,1,7,3,2,7,9,7,11,8,14,7,4,3,1,0,2,4,2,7,6,5,6,4,4,7,6,6,8,4,5,3,5,2,4,4,0,4,3,1,1,7,7,4,7,4,4,5,7,8,6,4,5,3,3,3,2,7,6,5,5,4,3,1,6,1,3,4,6,5,10,3,5,3,4,3,2,3,1,7,4,3,3,11,4,5,4,0,6,1,3,7,9,5,6,4,3,3,1,6,4,10,6,8,3,6,5,4,4,4,4,6,4,0,4,6,12,7,3,4,6,10,8,3,1,3,2,2,5
Lake Macquarie,LGA14650,33,23,22,16,22,15,23,28,17,35,44,37,35,35,51,43,31,39,41,30,40,33,35,43,50,69,53,45,50,55,45,49,41,45,53,61,45,51,51,38,41,51,43,58,50,57,66,78,66,87,78,67,53,58,54,59,57,51,66,67,57,52,63,46,40,54,44,57,55,66,64,87,83,79,64,82,76,70,68,70,61,69,72,96,82,81,74,57,65,45,57,63,59,51,64,81,71,72,63,67,54,55,69,58,41,47,71,61,73,48,63,51,44,51,54,57,50,58,66,81,81,58,70,52,66,69,52,50,51,56,68,72,73,60,44,49,54,43,41,51,37,45,54,94,86,52,45,53,54,46,44,40,47,61,52,50,61,77,65,48,46,46,66,55,66,57,62,62,100,62,80,50,59,70,43,59,85,51,61,75,76,54,66,56,54,43,47,54,57,57,84,64,99,51,68,45,64,41,47,81,61,65,63,65
Lane Cove,LGA14700,4,3,3,1,3,1,0,2,1,3,1,1,2,7,6,1,2,4,3,3,1,0,4,4,1,2,3,2,1,1,2,1,1,2,5,1,1,2,4,2,3,7,7,6,9,4,6,1,3,4,6,4,2,2,4,2,0,2,0,2,6,1,3,3,7,0,3,4,2,0,1,0,3,3,2,2,1,1,1,3,2,5,2,6,1,2,2,1,5,6,1,2,3,2,3,0,1,2,1,4,2,4,1,2,2,4,2,0,2,1,0,2,3,2,4,0,1,3,4,1,2,4,1,2,0,2,4,1,1,4,2,4,1,3,1,1,0,3,2,5,1,1,2,2,9,3,2,4,5,3,4,4,3,4,5,1,5,0,2,3,2,3,1,2,2,7,3,3,2,1,2,1,0,3,1,2,1,4,5,1,1,2,2,1,5,5,1,1,2,4,4,5,3,1,4,3,3,1,3,5,3,1,2,0
Leeton,LGA14750,7,3,5,2,4,2,3,4,2,1,3,7,6,3,4,4,5,7,6,5,4,9,7,17,18,9,9,7,10,12,8,8,15,6,6,9,7,9,19,6,5,15,11,7,7,6,16,17,3,11,12,4,2,4,4,14,3,7,8,3,10,2,9,3,8,1,4,2,6,2,1,10,12,3,3,7,4,5,4,3,6,4,4,6,6,4,5,2,5,6,3,1,5,3,3,9,2,4,6,7,4,3,5,2,4,5,5,7,1,2,2,2,5,1,10,0,5,3,11,0,5,5,4,7,5,4,2,2,3,4,4,5,5,5,3,6,3,0,7,4,7,4,7,3,10,7,10,7,10,6,7,5,3,3,5,5,3,5,3,5,9,3,8,4,1,1,8,3,5,2,4,5,3,2,3,7,6,2,4,4,6,6,4,7,5,9,1,7,2,8,8,7,3,5,7,9,5,5,5,3,3,7,7,9
Leichhardt,LGA14800,6,7,11,14,9,2,4,11,8,7,10,11,10,2,8,7,7,8,2,8,7,7,5,8,11,12,11,6,7,6,7,9,5,7,6,9,16,8,10,7,7,7,11,14,5,7,16,12,11,11,13,11,16,7,13,2,9,7,9,16,7,10,10,13,4,11,6,6,13,9,4,14,11,10,8,11,6,12,5,10,6,11,9,9,12,16,9,8,12,9,6,8,5,14,7,14,10,12,11,5,8,17,6,8,8,9,9,11,14,17,9,5,8,5,12,12,11,8,16,7,14,8,15,9,7,9,13,11,6,12,5,15,11,11,14,9,10,5,8,9,6,5,18,10,17,10,19,15,17,11,16,8,9,10,18,18,9,10,10,6,7,9,12,13,10,5,15,23,14,10,6,12,8,10,6,9,12,9,9,12,10,3,12,4,9,7,7,12,10,9,10,10,15,10,17,5,9,12,11,10,10,6,13,12
Lismore,LGA14850,20,10,21,18,13,14,9,26,8,8,13,8,21,24,32,19,16,18,24,12,33,18,19,22,13,20,26,14,20,20,17,26,30,28,16,24,30,21,16,14,25,22,19,17,32,25,14,27,42,25,25,24,27,22,16,14,17,7,20,15,16,24,21,15,17,26,15,26,11,31,21,24,25,15,9,24,17,26,15,22,19,22,15,17,28,21,15,23,25,28,24,23,27,19,26,30,27,33,18,16,23,23,24,27,16,15,20,28,32,33,28,20,15,19,19,12,17,22,28,27,20,24,17,27,18,28,20,14,16,24,17,24,26,19,18,16,14,16,13,25,17,18,12,13,23,13,26,20,11,14,17,13,20,21,17,12,18,15,24,19,20,14,21,18,14,15,19,26,19,11,20,11,15,9,17,18,18,15,13,23,18,17,18,19,12,8,23,20,19,21,17,22,18,11,14,14,34,14,21,9,18,18,13,24
Lithgow,LGA14870,6,6,4,4,1,3,2,7,10,7,8,3,6,7,7,5,5,9,8,2,3,2,1,7,6,5,9,8,4,7,6,3,9,8,5,5,10,7,9,3,11,5,10,9,12,6,8,7,9,4,7,10,6,3,11,8,4,13,11,14,7,13,6,7,8,17,9,5,8,9,9,7,17,9,8,7,6,11,4,12,8,15,13,3,9,10,14,6,6,11,14,4,9,11,5,8,16,12,5,6,12,6,4,8,9,7,11,14,12,8,12,8,8,6,9,15,9,5,6,14,8,15,7,10,9,9,11,10,5,4,4,8,7,5,7,6,5,7,12,11,5,11,3,7,6,8,12,6,8,8,11,9,7,8,8,15,16,13,3,11,11,11,7,9,7,7,6,7,6,5,8,15,5,10,10,4,6,8,8,13,4,10,7,7,11,2,7,10,15,10,9,6,12,7,4,11,6,5,2,8,5,10,9,15
Liverpool,LGA14900,40,48,36,35,29,42,38,49,38,37,39,36,45,38,51,39,37,41,41,37,36,33,48,38,62,50,34,35,38,41,37,46,56,44,42,68,78,60,53,46,60,79,47,67,72,81,64,68,66,48,91,56,64,56,42,59,69,62,58,71,87,53,65,62,39,56,45,60,46,52,67,65,69,48,58,42,52,38,53,50,51,69,51,71,50,68,48,72,44,44,49,43,45,73,63,57,57,47,62,51,69,42,68,55,68,48,49,68,49,47,59,45,41,29,50,40,70,60,51,71,71,58,45,58,56,45,39,66,57,81,71,70,78,59,67,63,53,80,69,60,70,67,60,72,73,65,67,51,67,56,78,79,64,62,91,83,85,88,63,82,72,62,62,69,69,71,78,79,69,71,89,80,90,62,78,67,69,84,92,124,96,93,101,95,88,75,77,75,66,98,83,76,86,86,98,77,74,76,68,72,75,87,81,54
Liverpool Plains,LGA14920,3,2,1,1,0,1,2,2,1,0,1,2,2,2,2,0,0,2,1,4,0,2,1,1,1,0,0,0,2,0,2,1,1,0,3,3,0,3,3,4,4,0,2,10,0,3,0,0,2,7,1,3,5,2,3,1,3,3,1,2,3,1,0,0,2,0,1,1,1,5,4,2,4,0,1,1,6,3,3,1,4,5,5,1,7,5,0,1,3,3,5,4,5,1,4,5,7,6,3,1,5,7,1,1,9,1,3,3,2,2,1,2,5,1,2,0,1,3,5,2,8,3,3,1,4,5,4,0,3,4,5,2,4,1,4,0,2,2,0,4,3,5,5,5,4,0,4,2,2,0,0,4,2,5,8,8,3,5,3,2,3,2,0,1,4,5,2,2,3,1,3,1,3,1,4,1,2,5,1,4,4,1,4,2,5,4,0,2,4,4,0,5,3,1,8,2,4,4,2,0,9,0,2,5
Lockhart,LGA14950,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,2,0,2,1,0,0,1,0,1,0,0,2,0,1,2,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,1,4,0,0,0,2,4,2,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,1,0,1,2,0,0,1,1,0,3,0,3,0,0,1,2,0,2,0,1,0,0,0,1,0,1,2,5,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,3,0,3,1,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,3,1,5,1
Maitland,LGA15050,13,14,17,16,11,14,16,8,10,21,17,17,20,15,15,25,18,17,9,18,20,17,20,26,19,22,21,19,23,18,16,24,14,38,16,31,17,24,36,30,27,16,24,18,25,15,17,28,33,21,32,24,31,24,18,28,20,29,32,23,36,31,22,22,14,24,24,23,17,17,29,33,24,29,28,24,28,32,23,27,18,28,25,24,28,26,26,21,27,25,29,25,23,21,21,28,37,22,32,27,29,23,15,18,27,19,28,22,34,33,27,27,22,20,21,15,18,35,20,29,16,23,29,17,29,21,23,19,28,23,20,17,27,28,23,18,19,24,28,20,25,24,23,26,25,22,29,30,14,19,26,24,18,28,39,18,29,15,25,31,27,17,29,24,28,32,31,40,31,34,43,23,40,31,28,21,27,39,20,36,29,29,29,21,29,32,28,41,24,24,31,34,30,24,37,40,58,34,25,43,34,35,65,41
Manly,LGA15150,5,2,4,1,2,2,8,6,5,6,3,9,9,6,5,3,2,4,9,7,4,5,4,9,4,4,3,4,8,2,3,6,12,3,2,4,5,6,5,6,11,4,8,8,5,4,3,6,8,6,9,2,11,5,3,5,4,4,9,5,8,4,7,4,3,5,2,7,2,3,5,7,3,5,11,7,8,2,6,7,16,2,1,5,12,5,9,7,3,6,6,7,3,6,1,3,8,10,8,3,5,9,4,4,2,4,8,3,6,8,1,4,9,4,3,3,6,5,6,5,11,5,5,3,8,3,1,3,6,6,10,11,6,4,4,10,6,7,3,4,2,8,8,9,5,9,9,10,6,9,7,7,8,10,5,11,7,8,7,7,4,6,6,5,5,7,7,6,8,8,10,8,5,5,6,4,6,4,9,4,15,7,6,6,7,7,4,4,3,3,4,4,7,5,5,6,5,3,6,7,8,6,4,5
Marrickville,LGA15200,36,29,21,22,21,30,21,21,22,20,24,19,37,20,30,27,20,23,17,21,18,27,20,27,21,24,24,30,16,19,22,22,22,19,24,21,28,21,24,23,27,29,22,29,22,33,28,19,34,22,34,38,24,28,35,28,28,27,34,33,36,30,36,27,17,24,27,41,33,31,35,35,37,28,20,25,15,24,34,33,24,26,31,47,32,44,42,27,23,31,42,32,20,36,31,28,39,36,39,26,25,21,25,21,25,30,36,36,19,22,34,18,20,22,18,27,15,26,31,37,23,22,16,20,13,17,19,15,16,25,25,17,20,25,29,24,27,24,23,24,17,25,23,17,34,25,14,37,25,18,26,24,24,20,25,26,36,37,26,32,21,23,15,23,24,29,24,21,25,22,26,25,23,32,25,16,26,27,21,36,28,27,15,25,19,17,23,22,26,14,19,24,26,21,20,27,16,21,16,20,12,20,27,24
Mid-Western Regional,LGA15270,5,6,11,5,3,1,3,2,3,4,2,11,3,3,7,3,4,4,7,9,4,6,8,9,7,5,6,4,3,4,8,5,9,8,10,6,6,15,4,12,5,4,3,9,9,6,6,14,19,5,12,8,8,16,13,11,4,8,8,6,6,1,13,10,5,12,6,8,7,7,8,8,6,11,10,4,10,15,3,9,12,12,12,8,5,9,5,5,2,9,4,10,5,5,8,8,11,10,12,9,8,8,6,6,16,11,6,22,20,6,16,17,10,3,8,4,6,13,9,13,9,11,7,9,9,3,11,7,5,5,7,15,12,8,7,15,10,9,5,12,9,12,10,10,14,13,8,6,8,3,9,10,7,10,7,14,15,6,10,2,7,8,10,12,8,10,8,29,12,6,10,5,7,10,6,4,4,5,10,12,16,4,12,8,17,9,6,6,11,5,21,10,15,17,9,9,8,10,11,10,11,7,6,12
