LGA,region_id,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
Moree Plains,LGA15300,9,8,13,16,12,10,14,7,7,8,9,14,13,15,8,9,11,7,11,12,15,9,14,23,28,13,8,10,8,17,13,6,15,18,11,32,9,23,16,13,15,14,13,17,10,18,19,22,29,16,11,10,12,7,17,16,17,14,20,23,28,12,17,19,22,14,14,8,18,12,21,23,8,12,22,21,12,20,16,11,21,24,13,24,18,16,19,17,16,19,10,22,14,18,14,18,32,16,17,20,19,18,12,20,21,16,23,18,15,26,22,23,19,15,15,25,25,22,16,17,32,35,26,13,11,21,15,14,19,12,19,14,19,15,19,10,10,7,17,11,14,17,23,20,11,21,19,14,20,16,16,11,11,22,11,20,31,10,24,10,23,18,9,25,18,18,24,34,20,19,18,21,21,20,19,9,22,16,16,20,20,27,22,15,23,17,18,25,23,26,25,27,24,15,20,21,14,20,16,24,17,19,24,29
Mosman,LGA15350,3,1,0,1,0,4,1,1,2,1,1,4,4,3,2,9,2,2,0,0,3,1,3,2,6,1,2,1,0,1,1,6,2,2,4,0,4,2,3,1,1,3,4,7,3,3,2,1,3,2,2,1,5,5,1,5,2,0,0,0,2,1,1,2,1,2,5,3,2,5,6,2,0,0,4,2,4,3,2,1,1,1,3,4,3,4,2,4,1,2,1,1,5,2,1,1,1,4,7,9,2,3,3,1,2,1,1,2,4,1,1,2,3,2,6,1,1,1,1,3,0,3,2,2,3,2,2,4,6,0,3,6,0,1,3,5,2,2,2,6,6,1,4,3,2,5,0,3,7,1,4,0,4,2,3,5,3,2,1,2,3,2,1,1,3,3,3,2,2,5,2,3,0,2,1,3,4,3,2,0,6,7,10,4,3,2,1,4,5,3,4,5,2,7,2,2,4,8,3,3,3,7,4,5
Murray,LGA15500,2,1,1,0,2,0,0,1,3,2,1,1,0,1,0,0,0,1,3,1,0,0,0,1,1,1,3,1,1,1,1,0,4,0,2,2,0,2,0,0,1,0,2,0,2,1,1,1,3,2,0,1,0,1,1,0,1,6,1,2,0,1,0,1,1,1,2,0,1,1,2,0,0,4,0,0,2,0,3,0,0,1,0,1,1,1,0,1,2,0,5,2,3,2,1,4,2,0,6,2,2,0,0,2,2,1,2,1,4,0,1,0,1,1,2,1,1,1,0,1,4,1,0,3,1,1,2,3,0,2,2,3,2,2,1,0,1,0,0,0,0,0,1,2,4,0,2,2,1,1,0,0,1,1,3,2,1,0,0,1,1,1,0,1,3,0,2,2,1,0,2,2,4,2,1,3,1,2,1,0,11,0,3,0,1,1,0,0,1,4,1,0,0,0,2,2,3,1,2,1,1,0,2,1
Muswellbrook,LGA15650,4,2,5,6,2,2,3,3,3,1,2,4,9,8,6,9,6,3,0,3,8,1,1,6,6,1,3,1,5,9,6,4,4,5,6,10,5,12,3,3,5,6,2,6,12,6,7,11,9,9,5,6,8,9,2,8,7,7,5,6,5,5,7,4,8,5,9,8,6,2,12,9,6,8,18,9,11,9,4,7,8,7,15,3,5,11,12,1,7,4,4,7,6,8,5,6,7,9,13,1,1,6,7,1,6,6,4,7,4,3,4,3,5,9,13,5,4,6,10,10,7,5,11,5,10,3,6,5,10,6,9,4,7,12,6,7,7,5,8,5,6,5,3,9,5,3,7,5,5,3,4,14,7,3,8,11,8,7,3,4,3,6,5,7,9,8,11,7,9,11,5,11,4,13,5,7,9,10,9,10,11,8,12,11,5,14,9,10,10,7,13,19,9,11,12,2,10,3,4,5,10,13,7,6
Nambucca,LGA15700,7,6,6,5,7,2,14,6,5,8,7,8,8,9,9,4,2,4,9,4,5,4,9,6,8,6,5,13,6,7,4,7,3,8,3,8,2,11,12,6,5,5,6,7,6,6,8,6,11,4,10,9,6,11,6,4,2,4,5,12,6,3,11,4,6,2,3,5,11,4,10,3,8,9,7,8,4,11,12,6,5,6,2,5,9,2,8,7,5,7,5,8,2,10,7,5,6,9,13,10,18,4,4,9,7,4,11,12,7,3,7,6,11,5,4,7,7,8,18,9,21,11,14,4,10,6,8,6,6,6,7,17,10,12,6,13,8,7,3,13,3,6,10,9,9,2,11,6,6,9,4,12,8,10,5,5,10,8,5,4,12,8,10,5,7,10,10,6,10,5,5,10,1,8,8,7,9,12,12,5,21,4,8,3,6,8,8,7,6,10,9,16,16,9,11,7,3,5,6,6,8,9,14,13
Narrabri,LGA15750,13,8,2,5,9,5,3,11,11,9,5,11,17,8,4,5,6,8,7,10,10,14,15,9,9,3,6,4,2,4,8,2,18,3,6,11,10,4,6,4,10,6,6,6,4,4,11,4,11,9,12,6,8,6,10,10,2,8,9,13,4,4,3,3,4,8,10,2,5,13,17,9,7,9,11,6,7,6,8,3,5,2,2,9,18,11,5,7,6,3,9,6,8,13,9,10,13,4,6,12,13,3,10,9,9,4,4,10,5,8,4,9,11,8,3,2,3,10,6,7,8,10,3,4,11,3,11,4,4,4,5,5,13,6,8,9,1,6,4,6,7,3,6,1,4,3,5,3,1,4,1,3,5,7,4,3,6,4,1,5,5,10,7,3,4,2,4,10,5,9,5,4,1,13,3,6,5,5,5,5,5,3,2,4,3,3,8,6,3,5,1,13,11,4,9,7,2,3,10,6,7,6,13,11
Narrandera,LGA15800,1,1,2,3,4,1,2,2,4,3,5,2,4,2,3,3,3,1,5,5,4,1,6,4,7,4,2,6,6,2,16,10,3,6,10,6,8,2,6,3,5,4,2,2,7,3,10,5,6,4,3,2,4,1,4,4,3,2,11,4,5,6,3,2,3,1,5,1,4,6,7,1,5,5,9,1,1,4,2,1,4,7,2,1,4,7,2,1,2,3,2,5,4,1,2,5,1,4,4,1,2,5,1,0,2,0,2,4,4,3,4,6,0,3,2,5,5,2,4,4,3,5,3,3,5,3,5,3,5,3,2,5,3,1,1,1,5,1,3,2,1,4,10,3,5,3,6,0,1,0,0,3,5,3,3,6,2,6,2,5,2,1,3,1,5,2,4,1,1,3,3,3,0,3,2,6,1,4,5,3,1,3,7,4,5,1,2,2,2,3,3,1,4,4,1,2,1,2,3,3,1,1,2,1
Narromine,LGA15850,2,6,6,4,4,4,3,5,2,1,5,4,1,2,3,1,5,2,3,6,7,1,4,8,9,4,6,4,1,2,3,5,1,3,3,1,1,5,6,2,5,5,2,8,5,5,5,6,4,3,6,4,4,6,8,2,5,8,14,8,10,8,11,2,4,6,0,5,4,6,3,6,5,1,4,1,5,4,1,4,1,1,4,3,4,0,3,1,5,2,3,3,1,3,6,2,4,1,4,0,0,3,3,2,2,6,5,8,11,4,4,1,2,3,2,0,0,4,9,1,4,2,4,4,3,2,0,4,2,2,3,4,7,3,4,3,2,1,3,1,4,3,6,7,12,5,5,7,4,3,3,4,1,0,8,5,5,3,6,6,2,2,3,2,2,4,2,3,3,5,1,5,4,6,3,3,1,2,9,4,4,8,3,12,3,3,2,3,3,2,7,2,11,7,12,3,5,2,5,4,5,6,5,6
Newcastle,LGA15900,45,33,26,39,26,21,26,37,30,47,34,31,40,53,47,53,33,49,45,52,48,55,51,60,56,69,54,51,60,66,51,54,47,71,60,81,54,51,54,69,55,78,63,66,47,61,66,74,78,59,72,56,46,70,61,46,53,70,61,81,76,55,72,41,31,64,61,51,35,67,61,84,78,70,58,58,45,63,56,52,71,70,60,71,58,57,64,49,56,46,58,54,60,67,84,74,63,81,77,68,76,64,49,49,46,57,72,50,77,51,48,32,41,49,44,57,57,57,70,67,72,76,57,33,61,44,44,41,52,54,42,48,58,51,60,38,34,38,44,43,53,37,63,54,71,58,58,42,46,47,39,45,47,69,64,46,74,53,61,56,37,52,70,52,66,65,64,82,90,56,73,49,45,45,52,59,46,54,59,54,75,50,73,52,73,60,43,54,57,61,75,57,68,72,73,47,46,61,49,43,67,54,55,57
North Sydney,LGA15950,2,1,6,3,6,4,9,1,5,9,1,5,14,6,4,2,7,3,6,5,6,6,2,7,3,6,9,6,7,4,7,7,3,5,3,6,5,5,6,11,8,4,8,5,8,10,13,8,12,10,6,3,9,7,7,7,10,8,6,7,17,6,6,18,7,4,10,3,8,5,7,10,7,6,6,5,11,8,8,6,7,7,8,7,8,9,12,7,1,10,5,5,10,8,9,9,4,5,2,7,10,7,12,15,17,6,7,10,13,10,14,7,2,9,3,12,11,9,6,5,7,8,6,6,8,2,11,7,8,6,7,9,14,6,9,6,9,4,11,8,9,6,8,13,16,8,12,13,10,7,3,9,12,8,5,10,17,5,11,5,10,9,10,8,13,13,6,8,18,6,13,13,10,5,11,8,15,13,12,8,8,13,10,14,10,13,10,12,4,10,11,15,12,7,8,6,12,6,8,10,14,6,11,16
Oberon,LGA16100,4,0,1,2,1,2,2,0,0,0,0,1,3,0,0,0,1,1,2,0,1,1,0,0,2,2,2,2,2,1,1,0,0,1,0,0,2,6,2,1,2,0,7,0,0,0,3,0,1,1,2,2,3,3,2,1,1,4,0,1,1,1,2,0,4,1,1,0,2,1,1,1,0,2,4,2,0,1,2,0,0,1,2,1,0,0,2,1,2,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,4,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,1,0,3,1,1,0,3,3,3,2,1,0,2,1,0,0,3,0,0,1,4,0,1,0,1,4,2,2,3,0,1,1,1,0,1,0,1,0,1,0,4,0,0,1,1,2,0,1,2,0,0,0,1,0,4,0,2,1,1,0,2,2,0,0,5,1,4,1,1,6,0,9,2,0,1,4,2,2,4,2
Orange,LGA16150,17,10,10,6,7,9,16,12,13,4,5,17,15,5,10,8,6,15,11,12,19,11,8,18,21,13,9,10,13,12,9,10,8,16,16,14,16,21,21,15,13,9,12,12,16,13,16,25,27,25,11,13,15,19,21,13,16,27,24,24,13,21,20,20,16,14,15,15,18,19,14,15,14,14,11,8,22,12,12,13,6,10,13,16,22,9,11,12,22,11,15,17,11,9,16,13,24,19,15,8,9,11,11,10,9,9,14,31,14,8,17,12,16,10,20,16,18,14,13,14,22,20,33,16,22,12,12,22,10,18,21,14,20,16,13,12,9,18,22,19,20,27,20,22,26,18,25,25,17,25,22,20,18,20,30,20,23,21,24,18,24,19,22,25,19,17,22,25,29,23,19,16,27,29,20,26,26,34,17,29,27,30,35,25,19,24,17,23,25,21,26,34,33,27,22,15,26,24,32,20,19,35,35,18
Palerang,LGA16180,0,1,0,0,0,1,2,4,1,0,0,3,2,0,3,3,3,4,0,1,5,2,3,2,0,0,0,1,1,1,2,0,1,3,1,7,4,4,1,0,3,3,0,0,0,2,0,5,1,1,2,0,1,3,0,1,0,1,1,4,4,1,5,0,1,0,3,3,2,2,2,8,1,2,4,0,0,0,1,1,1,2,2,0,4,1,5,0,6,2,3,0,2,4,1,5,4,3,5,4,0,3,1,1,1,3,3,3,2,1,1,1,0,1,3,1,3,0,0,2,3,4,2,7,5,0,1,1,0,3,2,4,2,6,1,4,2,0,0,1,1,1,7,2,6,1,3,2,4,1,0,8,3,1,3,5,3,5,4,2,3,1,2,2,1,3,1,0,1,2,2,3,0,0,1,3,0,1,4,2,0,3,0,1,1,2,0,2,2,1,1,3,1,3,0,2,0,2,1,3,1,0,1,1
Parkes,LGA16200,5,2,3,3,2,5,8,11,6,6,9,8,8,6,14,3,4,8,6,3,6,7,8,5,9,6,5,2,2,3,8,4,6,6,5,6,8,10,10,1,2,6,8,5,7,6,8,19,8,9,9,6,6,8,7,2,2,7,6,8,9,4,6,4,3,3,5,8,4,4,6,12,8,3,8,4,2,6,3,8,4,3,5,5,10,3,4,9,5,12,6,11,7,8,11,12,12,10,13,7,5,7,6,14,8,3,6,10,10,13,11,6,3,6,8,6,11,12,7,4,14,3,7,6,4,9,9,9,7,11,10,7,9,4,8,9,6,11,12,7,6,7,7,5,13,11,9,7,12,9,5,9,9,10,14,12,11,6,9,8,6,2,20,4,16,8,7,10,11,10,10,7,10,3,10,2,4,6,4,13,8,7,10,6,9,12,7,5,11,10,8,7,12,28,5,6,7,10,12,4,5,13,5,8
Parramatta,LGA16250,52,50,33,41,51,30,30,30,36,42,42,33,37,38,47,62,41,37,44,42,37,53,28,47,55,49,53,54,42,52,44,37,35,64,48,48,64,38,36,58,38,58,30,36,39,48,57,68,67,64,48,37,46,48,39,52,58,50,58,65,45,43,50,42,42,49,37,35,45,37,68,54,67,46,60,53,46,37,46,48,54,58,55,51,57,55,62,47,50,70,41,39,61,41,58,77,60,68,66,44,59,48,61,35,45,37,71,71,50,51,72,57,51,43,61,47,41,58,41,36,69,42,84,43,48,46,44,57,34,59,63,62,60,54,56,45,49,60,44,49,45,51,61,53,77,55,66,58,59,50,63,57,44,45,60,73,86,63,65,59,56,49,51,66,55,69,67,82,84,55,62,55,61,60,58,52,48,69,80,97,71,49,86,76,60,57,45,56,60,81,47,94,57,72,63,58,61,58,48,61,47,66,84,65
Penrith,LGA16350,81,62,60,72,45,42,43,44,38,48,55,59,56,64,58,64,54,40,60,55,35,47,59,75,83,66,56,53,61,61,50,50,75,85,46,76,55,47,60,51,44,54,43,49,72,56,54,82,75,64,60,42,61,55,58,63,61,76,65,72,81,70,90,69,74,47,65,63,52,66,66,68,80,65,73,56,69,60,61,72,57,67,54,73,80,65,74,65,52,51,58,73,63,76,44,85,102,77,67,79,83,72,57,62,70,79,82,82,78,89,82,72,77,56,74,74,74,76,83,67,86,77,72,57,58,83,54,57,71,70,91,87,78,83,84,60,65,68,76,81,82,79,96,91,118,98,84,70,92,85,88,84,53,64,98,76,86,81,74,69,54,62,73,64,63,89,90,74,84,72,88,55,66,92,75,82,87,98,89,114,118,81,96,75,82,67,87,108,94,80,92,89,96,91,110,81,93,82,65,73,75,82,91,118
Pittwater,LGA16370,4,3,4,6,9,6,3,1,1,3,4,10,8,8,9,13,7,4,5,10,6,5,5,9,6,6,8,9,9,2,4,6,6,4,5,11,6,2,10,10,4,6,6,9,11,12,15,8,12,5,12,9,16,5,11,7,13,9,12,16,14,5,11,5,10,2,4,7,11,4,4,8,13,4,9,7,15,3,8,3,1,6,9,9,10,9,7,7,8,14,6,7,11,10,5,7,4,13,9,6,6,2,3,3,3,2,6,6,4,10,5,5,6,6,6,3,5,7,5,7,13,4,7,2,2,5,11,1,12,8,11,10,13,13,7,3,6,3,5,7,9,4,2,10,7,8,9,11,9,11,13,17,9,7,3,5,8,6,2,10,7,6,11,12,6,11,9,9,9,6,12,6,3,5,7,11,4,9,10,8,12,1,8,7,10,8,4,7,6,6,3,6,15,6,9,9,6,10,9,8,8,4,4,3
Port Macquarie-Hastings,LGA16380,23,14,8,7,9,12,12,12,23,12,11,13,21,10,14,11,9,19,8,16,8,14,15,18,17,10,13,7,8,13,18,9,14,16,16,18,26,18,13,11,19,8,15,13,22,16,20,34,23,22,25,23,19,23,18,24,13,15,10,22,22,17,16,17,11,14,15,21,13,14,19,12,22,20,18,20,21,20,12,21,24,19,19,23,22,20,26,18,19,15,14,21,18,14,16,26,21,22,14,11,18,20,20,17,17,16,16,30,30,21,28,16,22,24,20,36,15,23,31,25,51,36,22,22,24,14,22,16,21,27,17,28,27,36,30,30,21,15,19,29,31,32,26,32,28,21,20,25,12,29,18,17,23,29,22,30,25,29,25,29,22,25,23,25,28,27,34,26,30,26,33,24,14,27,23,18,22,43,29,33,44,24,16,31,31,20,9,20,19,15,34,29,28,19,23,27,25,22,17,23,32,16,21,15
Port Stephens,LGA16400,16,10,13,10,8,13,14,18,15,16,8,18,19,14,16,19,14,17,19,13,11,9,18,16,19,20,12,9,12,14,16,12,10,19,22,36,34,13,20,18,10,13,10,15,24,22,28,32,21,39,27,19,28,21,23,26,12,13,21,34,23,19,19,15,19,23,16,15,20,25,27,32,21,19,28,23,20,17,24,22,21,27,23,32,27,18,18,19,25,26,13,25,20,28,20,35,37,30,34,20,26,22,35,22,17,19,20,32,23,25,25,29,24,18,15,20,10,26,16,30,37,20,21,17,14,22,24,15,23,17,25,21,27,14,19,13,14,25,12,22,12,20,21,33,23,19,13,11,17,16,24,14,12,11,16,19,32,19,24,40,13,15,27,26,18,21,26,34,35,23,28,17,22,15,22,18,25,27,27,26,24,26,19,33,27,21,31,23,37,34,27,21,27,30,31,19,36,28,19,27,22,23,29,32
Queanbeyan,LGA16470,17,10,9,10,7,8,12,9,9,13,14,17,15,14,23,9,19,8,14,9,16,13,19,10,21,19,11,11,15,12,8,9,19,14,22,11,11,12,14,15,11,9,5,6,12,13,13,6,14,17,17,9,13,14,6,14,19,16,16,16,15,20,12,7,17,19,6,18,8,17,15,17,18,18,9,11,11,13,13,11,23,18,16,17,24,12,14,9,18,19,10,10,13,13,5,17,17,23,18,16,18,7,12,9,12,13,10,17,11,14,11,13,9,11,22,11,16,13,5,14,12,9,6,9,11,8,11,11,11,8,10,17,11,13,9,11,11,11,14,9,7,15,3,23,17,11,12,14,17,14,16,12,11,9,17,12,19,7,11,9,8,10,4,10,5,13,13,13,12,9,12,15,20,10,6,8,9,9,10,12,20,5,15,14,6,6,9,6,9,4,9,4,9,10,14,12,14,13,4,12,9,13,21,6
Randwick,LGA16550,31,24,17,17,12,23,20,21,20,24,24,22,16,23,23,17,11,26,16,19,19,14,13,33,24,26,16,20,22,16,16,15,25,26,25,33,47,23,30,28,26,20,27,25,28,27,23,31,31,29,31,30,29,23,24,17,21,24,27,33,37,20,23,29,29,22,23,23,17,23,29,28,22,20,36,19,30,26,26,27,26,18,24,26,43,26,30,20,30,12,22,21,27,33,31,39,33,29,35,21,46,40,32,36,33,27,36,42,43,36,37,33,25,37,41,32,23,44,29,40,42,36,20,31,26,19,33,18,20,25,26,31,19,29,20,24,25,29,36,25,35,26,20,26,36,27,22,27,22,24,26,20,36,30,36,35,29,37,26,37,21,30,31,27,29,26,33,52,26,33,31,32,20,17,23,30,17,34,34,37,31,38,39,32,14,19,25,23,30,34,21,41,34,31,39,24,23,24,25,36,38,21,31,41
Richmond Valley,LGA16610,6,6,7,12,7,10,11,13,12,6,9,13,8,13,6,9,17,12,7,6,6,6,8,6,8,5,9,9,18,5,8,13,6,17,7,19,18,8,22,16,15,15,10,9,7,12,10,13,13,15,10,10,9,8,3,10,11,13,11,16,12,12,13,12,5,10,6,16,14,15,16,20,7,7,12,7,12,15,14,4,17,12,17,18,12,11,15,18,16,10,22,19,14,14,12,18,17,19,15,12,18,14,18,20,9,16,14,13,22,14,12,7,9,11,12,11,16,17,14,16,20,18,19,12,9,16,13,7,13,17,14,13,16,12,8,8,4,5,11,6,7,16,6,12,15,16,12,16,11,7,6,13,14,6,13,14,13,18,12,12,9,8,14,12,26,13,11,10,12,11,17,14,5,6,9,13,10,11,18,9,18,14,8,6,7,10,7,3,18,13,9,8,11,6,15,10,8,7,15,14,9,8,10,12
Rockdale,LGA16650,19,17,18,10,17,8,14,14,11,7,15,19,15,18,10,23,20,20,15,12,12,17,11,31,14,27,28,11,21,20,12,20,21,34,22,34,24,16,14,30,17,18,25,17,11,24,20,30,19,19,19,11,25,19,12,23,10,19,24,19,14,23,17,11,18,13,12,16,22,28,21,27,28,14,23,16,19,23,21,21,19,26,29,22,21,18,17,23,12,14,25,23,14,25,21,12,20,22,15,27,28,23,22,29,22,19,18,26,25,12,21,23,23,24,23,27,17,26,19,27,37,45,17,18,17,24,24,20,23,20,34,30,21,33,28,13,20,22,25,16,29,21,29,23,23,20,30,33,16,21,12,22,22,15,12,25,19,14,13,18,18,23,29,21,28,21,19,27,20,21,26,21,20,26,21,17,21,23,33,34,35,22,23,34,28,14,34,29,18,43,29,25,26,21,26,32,30,30,30,29,11,31,31,42
Ryde,LGA16700,17,8,12,5,15,6,6,8,15,10,10,7,13,16,8,8,13,22,11,9,14,10,13,16,12,8,16,10,13,14,8,6,15,12,14,11,7,19,10,22,11,14,21,18,15,14,17,16,18,10,13,14,14,18,17,17,7,23,13,7,18,22,19,18,19,19,9,11,17,15,13,21,13,14,13,13,16,13,13,6,17,10,15,13,23,14,16,7,6,12,5,9,7,10,15,14,23,18,18,19,11,13,12,10,18,15,17,17,9,7,8,10,16,8,21,5,17,16,12,19,25,18,16,14,15,10,16,17,10,13,15,11,14,13,14,12,6,10,10,6,13,7,6,16,16,12,12,11,9,5,7,12,4,15,11,14,12,8,15,13,14,5,19,3,8,14,13,26,16,13,17,14,17,10,17,9,10,13,13,19,16,9,16,16,17,8,10,13,9,11,12,17,13,18,11,9,5,17,11,10,14,18,25,15
Shellharbour,LGA16900,4,9,12,14,9,18,10,9,9,19,14,19,18,12,18,14,10,13,24,19,26,17,15,21,27,20,18,23,13,21,15,28,18,28,20,12,31,23,26,23,17,20,25,31,27,23,27,35,26,25,30,15,25,26,27,12,18,15,16,26,29,27,19,28,18,23,25,14,18,21,17,32,23,26,21,28,30,16,23,22,23,28,17,34,26,27,22,10,23,10,24,22,28,22,24,28,23,15,24,22,23,14,16,18,18,17,25,28,28,23,16,16,16,27,30,23,18,19,21,21,16,17,15,16,21,10,11,12,20,17,17,10,20,14,18,18,14,22,15,16,28,20,17,17,19,17,14,26,23,21,15,20,15,20,28,18,21,11,13,16,21,20,24,18,22,16,29,23,31,17,17,22,15,17,17,17,15,19,25,23,23,19,24,26,15,11,17,20,21,23,23,43,29,19,30,13,19,15,29,21,19,19,34,27
Shoalhaven,LGA16950,36,28,22,40,27,28,34,23,34,47,36,38,42,34,44,27,22,23,32,56,33,44,28,63,42,32,30,45,43,31,29,38,31,40,44,50,44,39,34,44,61,39,52,38,37,44,37,54,58,57,42,35,51,32,35,47,51,40,48,52,61,53,54,35,41,46,38,28,51,45,36,46,50,42,42,37,49,37,42,53,44,51,44,49,43,44,51,33,22,40,36,41,34,38,41,62,62,36,62,41,41,37,28,35,33,37,34,49,42,45,60,27,55,54,41,46,48,41,47,54,48,46,37,37,41,45,41,35,37,55,58,55,55,54,49,30,43,34,27,47,50,27,56,45,59,47,42,33,30,46,36,34,48,46,35,37,64,50,43,43,26,25,28,25,27,38,40,45,48,29,37,41,39,42,30,44,34,17,27,31,45,25,27,23,36,42,29,36,35,34,37,39,32,46,15,24,27,40,28,39,32,32,46,27
Singleton,LGA17000,9,3,5,3,2,1,0,3,3,6,2,6,2,6,5,13,9,4,6,7,7,9,11,7,7,4,6,4,3,2,4,5,4,5,5,2,7,6,5,1,4,2,5,4,3,6,5,5,4,13,4,4,8,4,5,9,0,6,6,5,8,11,6,6,3,5,5,6,2,8,6,6,5,8,2,2,1,2,4,8,4,6,11,9,8,6,4,2,5,4,6,2,6,4,10,5,8,3,7,1,5,5,7,1,4,4,14,1,6,8,4,4,6,3,7,5,12,5,9,3,14,2,3,9,7,2,2,3,2,4,7,8,6,5,5,8,4,6,5,4,4,1,5,5,6,5,4,6,7,9,6,1,2,4,9,8,13,10,5,6,7,5,11,6,4,4,5,3,8,8,7,3,5,2,5,7,8,3,7,18,6,11,9,7,3,4,4,4,6,3,3,6,7,10,6,6,9,7,8,2,8,12,7,6
Snowy River,LGA17050,0,2,0,1,0,2,2,0,1,0,2,1,0,1,0,0,2,1,5,0,1,0,0,0,2,1,0,1,2,1,3,3,2,2,0,1,1,0,1,1,2,2,1,2,1,0,2,1,2,2,1,0,0,1,1,1,2,1,1,1,2,3,0,4,3,0,1,2,7,4,2,2,2,1,1,0,1,1,3,1,1,1,0,3,4,3,1,0,1,4,3,1,0,1,1,1,1,1,0,2,0,1,2,2,0,1,0,5,2,2,0,2,1,1,6,0,2,0,0,0,1,2,1,0,1,2,2,6,2,1,1,3,4,2,1,0,1,0,1,2,3,3,1,1,4,1,1,0,0,0,1,1,1,3,8,1,1,0,0,1,0,3,3,2,2,2,0,3,0,3,1,0,2,5,2,2,3,1,2,1,1,1,1,0,0,1,1,1,1,2,0,1,0,0,2,1,1,1,4,2,2,0,3,0
