LGA,region_id,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
Strathfield,LGA17100,12,5,5,4,4,3,0,7,4,10,8,8,9,4,4,3,2,1,2,2,1,3,6,4,1,3,5,2,8,2,4,2,2,3,2,9,4,1,4,0,2,5,2,7,3,5,3,5,10,3,7,6,2,10,4,3,3,2,9,6,3,4,4,8,4,3,6,5,0,5,6,5,5,7,7,4,3,1,2,2,2,4,9,0,0,3,2,3,5,4,7,5,7,5,3,4,4,8,4,4,4,2,4,7,10,4,4,2,11,9,8,12,6,7,4,7,4,20,8,3,8,4,4,8,7,5,11,6,8,5,6,9,10,6,7,9,9,9,13,3,6,15,12,8,19,8,8,6,12,8,10,5,7,10,10,12,6,6,11,14,9,9,6,12,6,10,6,9,6,11,8,13,11,5,5,12,15,15,13,7,10,15,7,12,10,6,10,5,7,8,9,14,6,7,17,6,7,13,8,4,9,9,4,12
Sutherland Shire,LGA17150,48,17,31,26,37,23,24,19,27,25,26,38,33,34,19,23,31,22,27,25,26,27,26,35,24,58,29,35,17,33,35,20,34,41,31,41,46,38,38,27,33,25,34,22,33,44,36,50,35,34,31,33,41,23,21,26,23,34,30,28,32,23,42,29,34,25,29,28,28,29,28,29,43,20,29,26,24,22,30,25,26,30,20,26,45,33,44,36,17,27,44,23,40,37,31,39,40,40,44,32,48,53,40,39,38,35,40,50,58,42,35,31,29,36,38,43,20,48,33,50,41,44,48,34,32,41,30,39,36,35,45,38,56,40,59,35,51,32,36,43,29,49,34,37,56,51,46,36,34,28,48,29,35,38,45,43,43,46,32,36,41,39,32,43,27,28,40,40,29,28,32,37,25,43,28,24,25,39,26,38,48,30,48,45,34,23,33,24,38,36,39,44,41,40,45,33,35,29,47,47,33,44,27,32
Tamworth Regional,LGA17310,29,15,7,4,6,9,14,13,13,15,10,8,14,10,3,6,10,8,11,9,7,10,10,21,16,10,12,16,7,8,4,17,14,20,16,16,26,15,8,15,12,18,7,14,21,11,17,15,25,17,19,8,9,18,10,11,12,20,16,17,14,13,14,14,10,20,8,17,12,12,19,8,14,20,19,17,14,20,21,22,20,27,27,22,40,21,20,28,17,18,15,29,25,27,15,27,30,17,24,17,15,16,19,20,10,23,30,18,25,22,17,25,21,17,25,15,22,25,21,33,46,26,30,21,21,13,19,19,22,35,38,38,48,19,27,21,41,19,24,39,37,32,29,35,45,23,31,23,23,28,24,36,31,33,36,30,50,39,24,35,29,31,34,37,45,32,35,30,36,30,34,25,32,29,32,28,40,39,37,46,34,28,28,25,18,23,21,26,30,34,38,32,37,31,24,18,28,26,30,27,36,29,35,39
Temora,LGA17350,1,0,1,0,1,1,0,2,1,1,1,4,4,0,2,1,1,1,2,1,1,0,2,2,2,2,0,2,0,2,2,1,1,3,8,5,1,2,3,0,5,2,1,3,1,2,6,1,1,4,3,5,0,0,1,1,4,1,3,2,3,2,1,0,1,2,5,6,0,3,1,2,5,2,0,5,1,0,3,4,0,2,1,0,1,1,1,1,2,1,2,2,2,0,1,3,6,2,1,1,1,3,0,1,5,0,0,2,4,1,1,3,1,0,2,1,1,3,0,1,0,1,2,1,1,4,0,0,3,2,1,0,1,1,1,3,4,3,1,2,2,0,0,2,0,1,0,4,2,0,0,2,2,0,1,7,1,1,0,1,0,2,2,3,0,3,2,3,5,3,2,0,2,1,2,2,1,2,2,5,4,1,1,1,1,0,4,4,1,3,2,2,1,0,2,2,2,2,0,3,2,2,1,5
Tenterfield,LGA17400,1,5,3,3,3,5,4,3,5,0,4,4,5,5,0,7,2,1,4,1,4,2,0,1,5,3,3,1,2,5,1,3,2,4,2,2,1,4,2,3,3,2,1,0,3,1,2,4,5,6,1,7,6,8,2,6,4,1,4,9,2,4,1,3,7,2,4,3,7,7,6,10,2,4,5,7,1,3,6,6,5,5,1,8,7,6,7,5,4,4,9,7,9,5,7,10,5,6,5,2,1,10,3,10,3,7,9,5,2,9,3,6,3,2,6,12,8,10,4,0,4,6,5,2,2,2,2,6,1,7,10,2,9,4,3,3,6,2,4,1,1,7,8,2,3,4,5,6,3,4,4,7,2,3,5,8,1,2,3,1,5,1,5,4,5,3,4,1,4,9,1,6,5,1,2,2,8,4,4,6,4,1,4,1,2,8,2,6,4,6,11,7,9,8,3,0,4,2,3,2,6,5,5,4
The Hills Shire,LGA17420,12,10,11,6,9,7,8,10,6,8,10,8,12,10,11,6,10,9,15,9,9,7,6,17,5,12,10,4,15,17,12,9,16,12,14,14,20,15,23,6,11,14,13,15,26,23,17,20,17,14,26,20,31,18,15,14,21,13,24,16,37,17,20,10,19,21,15,12,14,22,20,18,20,20,10,12,24,29,27,18,20,20,20,30,42,26,21,19,25,20,16,18,24,14,22,29,22,35,26,25,22,29,23,24,28,30,36,23,37,27,23,25,20,29,16,23,24,27,30,38,26,35,32,28,22,21,17,31,26,22,24,38,27,25,29,13,18,23,26,25,21,23,25,29,23,25,39,22,19,19,15,22,15,21,22,20,30,20,26,11,17,21,33,23,23,16,23,19,17,18,26,22,29,23,22,22,14,25,23,26,28,23,20,21,21,19,21,28,24,20,24,17,17,18,21,18,14,14,24,20,15,17,26,23
Tumbarumba,LGA17450,2,1,2,0,0,0,1,2,0,0,0,0,1,0,5,2,2,3,1,2,0,2,0,0,1,0,1,1,1,1,3,1,5,0,0,3,1,1,0,0,2,1,3,2,2,0,0,1,3,2,3,2,0,0,0,0,5,1,0,1,4,0,1,0,1,3,3,0,0,2,0,3,1,0,2,1,0,2,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,2,0,1,0,0,0,2,1,2,2,2,0,1,1,1,1,0,1,0,0,0,2,1,0,1,0,0,0,4,0,1,2,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,3,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,2,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,3,0,2,0,4,0,0,0,0,1,1,2,0,0,2,1,0,2,2,2,1
Tumut Shire,LGA17500,0,0,1,1,4,4,2,3,3,6,0,3,3,6,3,5,3,5,6,3,4,5,3,6,5,3,7,3,2,2,3,2,4,5,2,9,7,6,6,3,4,7,6,3,5,8,8,9,11,2,4,10,12,6,5,5,5,8,5,3,10,6,4,3,4,6,9,8,7,6,5,2,6,4,5,12,4,2,9,2,4,3,5,6,7,12,4,6,4,8,10,6,5,6,7,12,3,7,6,0,4,9,2,3,4,7,3,1,17,6,3,3,3,1,2,7,7,8,8,5,4,2,2,6,0,6,1,5,4,2,3,6,4,4,1,4,3,2,4,4,2,3,4,5,2,6,5,3,5,1,3,2,3,4,2,10,6,3,3,2,4,8,1,6,5,4,1,3,14,3,4,2,5,1,5,8,3,3,7,3,1,4,2,4,7,6,1,13,8,5,4,6,1,4,3,3,9,6,3,7,6,7,10,5
Tweed,LGA17550,19,21,14,8,10,7,11,16,15,10,10,13,14,14,10,12,9,14,17,10,9,7,12,5,16,11,10,8,6,10,11,15,16,13,14,13,21,19,20,12,10,11,20,13,17,21,21,23,27,21,17,16,12,18,21,8,13,9,24,21,24,19,13,12,16,24,20,18,16,18,19,30,19,26,22,20,21,13,17,12,17,20,15,28,27,21,19,20,15,14,14,23,23,30,28,36,28,24,11,17,14,16,29,28,16,19,21,31,33,30,21,13,27,29,14,22,8,28,26,23,30,19,20,20,17,24,25,30,15,29,23,38,32,21,25,27,15,12,24,15,25,36,17,25,38,20,21,19,17,22,20,17,8,28,18,26,31,27,14,25,21,16,15,27,34,27,21,31,26,22,27,28,21,20,22,34,31,28,35,43,44,31,41,33,32,27,22,40,32,35,26,45,31,34,39,29,20,19,25,33,21,23,22,33
Upper Hunter Shire,LGA17620,1,3,4,1,3,0,1,4,3,1,1,0,1,2,6,1,1,3,1,0,3,1,1,2,4,3,0,0,5,3,0,1,2,0,1,5,0,3,2,3,4,3,3,3,0,3,9,5,5,2,2,2,5,3,2,2,1,3,3,1,7,3,1,3,2,0,6,3,0,1,2,5,2,2,5,1,5,0,4,1,2,2,2,3,1,1,3,1,2,0,0,1,3,0,1,0,3,1,1,5,0,2,1,0,5,4,0,5,2,2,2,2,0,1,1,2,1,4,4,4,6,2,2,3,4,1,5,1,5,1,3,1,0,2,6,3,1,3,4,2,4,3,3,3,6,1,2,2,4,3,5,0,4,2,2,5,2,2,2,2,1,2,5,3,2,1,3,2,5,2,3,0,4,1,0,2,1,2,2,5,4,1,3,4,2,1,1,0,0,0,5,3,2,2,2,0,8,1,4,2,4,2,0,0
Upper Lachlan Shire,LGA17640,1,0,1,1,1,0,0,1,0,0,3,1,2,0,2,0,1,1,3,0,1,0,0,0,3,2,1,0,0,1,0,0,1,0,1,2,4,0,2,0,0,1,1,2,0,2,0,1,5,4,1,0,3,1,2,0,3,0,1,2,0,2,2,2,0,3,0,2,3,3,0,1,0,4,2,1,1,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,2,0,0,0,2,3,1,1,3,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,2,1,1,0,0,0,1,1,1,0,1,1,3,1,0,0,0,0,1,0,3,1,0,0,3,4,1,1,1,0,2,0,0,0,1,2,0,0,0,0,1,0,1,0,2,0,1,1,2,2,2,1,1,1,1,0,2,0,4,0,1,1,0,0,1,1,2,1,2,2,2,3,1,2,0,0,2,0,2,2,1,0,3,2,0
Uralla,LGA17650,1,4,0,0,1,1,5,1,1,1,0,1,1,2,1,5,2,2,0,1,2,1,1,0,1,2,2,0,2,4,2,3,2,4,1,2,1,3,3,1,1,1,1,1,1,1,0,1,2,1,6,4,1,1,0,1,0,1,1,1,1,1,2,1,1,1,1,0,2,3,2,3,3,0,3,0,1,1,2,1,1,2,1,1,5,1,3,3,2,2,0,2,3,2,3,2,3,1,1,0,2,0,2,0,0,1,1,1,1,3,1,1,1,1,3,1,1,1,2,0,0,2,0,2,0,1,0,0,0,2,1,4,1,0,2,1,1,1,0,1,3,2,2,0,12,3,2,5,0,1,1,1,1,2,3,1,1,3,2,1,1,0,2,1,0,3,1,2,5,2,0,1,0,0,0,2,3,0,1,2,2,0,3,0,3,0,2,2,1,0,7,1,1,1,0,1,0,0,0,0,0,3,0,2
Wagga Wagga,LGA17750,29,13,24,17,14,16,19,30,19,16,29,21,25,24,22,12,23,22,20,23,14,14,34,30,24,41,31,31,27,17,41,20,29,37,21,33,42,33,26,19,23,27,19,24,33,38,43,35,33,29,28,20,25,25,26,27,23,16,27,25,29,27,26,21,27,17,19,19,20,35,29,25,30,23,25,19,11,13,26,23,13,21,22,34,16,14,27,12,23,18,15,10,17,32,19,17,27,33,23,23,17,32,15,13,19,24,25,30,26,27,28,20,18,27,16,21,19,17,20,20,26,31,24,19,17,26,18,34,10,32,26,30,22,32,17,19,15,16,17,18,17,21,16,26,29,27,26,19,15,17,16,18,25,22,29,15,30,21,38,30,22,21,18,30,27,26,23,29,41,27,34,29,21,35,28,20,31,23,24,36,35,21,29,22,18,30,25,17,29,27,25,27,26,25,28,13,22,29,22,22,25,35,40,38
Wakool,LGA17800,2,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2,2,3,3,1,3,1,2,3,1,1,0,0,1,2,4,1,2,2,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,2,0,2,0,1,0,0,1,2,1,0,0,0,2,1,0,0,0,0,1,2,1,0,0,0,0,2,1,2,0,0,0,0,3,0,4,0,1,0,1,0,0,0,2,0,1,0,1,3,2,2,0,0,0,2,1,0,2,2,2,0,0,1,0,5,2,0,2,0,2,1,3,2,1,0,0,3,0,1,2,2,1,1,0,2,1,1,0,1,2,0,1,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,2
Walcha,LGA17850,4,3,2,2,1,5,1,3,0,0,1,3,3,1,1,1,1,2,4,2,2,0,6,3,2,1,0,2,1,0,1,0,3,0,0,2,2,1,3,0,0,3,3,2,0,1,4,1,1,0,2,1,0,0,0,0,2,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,2,7,2,0,0,0,0,0,0,1,1,1,4,3,2,1,2,0,0,1,0,0,0,0,0,1,3,1,3,0,0,3,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,1,0,0,0,0,0,2,1,2,0,2,2,1,0,0,0,0,2,0,1,0,0,2,0,3,2,0,1,0,1,1,1,1,0,1,1,2,0,0,1,1,1,0,0,2,0,1,1,0,1,0,1,2,2,0,1,3,1,0,0,1,0,2,3,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,1,1,0
Walgett,LGA17900,20,19,18,19,13,18,19,10,11,12,9,15,22,13,14,18,18,13,11,8,15,9,23,24,43,19,13,16,10,16,20,16,10,12,21,23,23,19,16,10,12,11,15,17,15,24,11,22,25,13,8,7,12,13,15,16,13,20,10,20,29,16,17,25,22,27,21,28,17,22,32,19,30,22,20,19,12,20,21,13,19,18,19,18,17,20,30,9,15,25,21,23,16,17,21,26,14,20,16,15,13,12,9,13,13,21,22,9,15,12,12,7,13,14,5,14,20,12,21,20,24,23,18,9,10,13,8,22,15,12,18,22,20,21,16,16,17,21,15,13,14,20,19,22,16,12,21,20,16,10,13,19,13,18,8,13,20,17,11,16,11,13,20,18,14,15,16,28,28,13,15,20,15,14,16,14,23,21,20,20,12,14,13,13,14,15,6,10,18,18,18,20,20,13,17,15,15,14,5,9,21,14,15,20
Warringah,LGA18000,19,14,18,7,10,16,15,10,16,21,10,19,28,17,23,21,15,22,19,21,17,16,11,31,28,29,17,24,12,13,11,14,15,28,22,22,26,29,21,31,25,20,19,25,28,23,22,35,36,26,34,23,30,27,21,28,29,30,29,39,45,27,14,17,20,26,11,17,16,13,28,41,19,23,21,20,27,19,21,10,23,14,20,23,18,25,10,13,16,16,11,15,24,22,15,20,28,22,17,14,17,11,16,24,15,31,15,17,24,19,20,12,10,18,12,17,14,17,22,33,34,24,29,29,13,14,15,14,20,16,20,15,29,21,31,21,20,16,19,15,17,14,12,23,23,45,26,24,22,23,26,17,15,27,30,11,24,21,10,17,18,17,18,15,24,25,21,22,24,17,17,26,19,17,17,14,19,20,21,25,26,27,17,20,17,22,24,21,13,14,23,21,22,11,18,21,13,11,15,13,13,16,18,17
Warrumbungle Shire,LGA18020,2,1,5,1,3,3,1,2,4,0,4,2,2,3,1,1,2,0,2,4,3,1,6,2,15,5,2,0,4,2,2,3,3,3,3,2,6,3,2,4,2,3,2,5,5,3,2,5,5,1,5,0,4,2,4,0,0,4,3,0,0,1,8,1,3,2,4,1,3,3,4,3,5,7,8,2,4,0,4,1,5,10,3,2,4,2,6,1,0,5,6,2,2,2,5,3,3,4,7,10,3,3,5,6,3,6,10,4,4,6,1,2,3,4,2,3,11,5,3,7,4,1,8,4,3,4,4,6,1,4,2,4,5,2,1,4,3,4,6,3,7,5,4,5,6,12,3,2,2,10,5,3,4,4,2,7,8,3,6,2,2,4,3,4,3,7,7,6,4,5,5,1,3,7,5,4,4,2,3,7,2,7,4,3,3,9,3,1,5,3,4,4,4,5,3,6,3,5,2,2,3,3,6,3
Waverley,LGA18050,6,12,14,10,10,7,4,11,4,10,11,10,12,7,5,3,4,11,7,11,13,6,3,15,15,12,10,9,6,5,9,8,15,10,15,11,11,17,20,9,12,11,12,15,18,9,12,18,11,13,14,15,19,9,12,10,13,12,14,19,16,8,15,10,5,8,10,8,14,13,13,15,13,7,14,10,10,17,6,10,11,11,9,23,18,4,21,14,7,4,14,8,14,9,11,17,11,8,20,20,12,15,12,16,18,17,13,9,11,11,15,9,9,10,14,10,21,21,15,9,14,12,15,10,12,16,10,11,8,9,6,16,15,19,9,14,14,9,8,7,19,10,6,14,16,17,6,9,10,12,9,16,11,10,8,10,13,10,7,9,9,7,6,9,12,12,12,10,14,19,13,11,7,9,10,9,16,8,17,16,18,16,18,10,7,6,8,13,9,17,14,8,16,9,19,29,18,12,11,7,10,17,23,29
Weddin,LGA18100,0,0,0,0,0,3,1,1,0,0,0,4,0,1,0,2,1,3,0,0,2,0,3,2,0,3,1,0,0,3,0,2,3,0,2,1,1,1,2,0,2,0,0,0,0,3,0,2,1,0,0,1,0,0,0,1,3,0,0,3,1,0,0,2,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,5,1,0,1,0,1,2,1,0,4,1,1,0,0,0,1,1,0,0,0,0,1,6,1,0,0,1,2,1,1,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,2,0,1,1,0,2,1,1,0,3,0,0,1,0,0,0,1,0,1,1,2,0,2,1,1,1,1,0,0
Wellington,LGA18150,8,4,3,4,1,1,5,4,3,2,4,7,11,8,5,1,2,4,4,3,2,8,3,8,6,7,10,3,6,2,0,7,6,3,6,3,6,9,3,2,4,7,2,8,2,8,9,5,7,5,10,5,4,4,8,10,7,5,11,8,9,6,7,8,6,1,3,6,3,5,4,5,4,5,4,4,3,5,2,5,3,3,5,3,8,6,2,5,4,5,13,6,3,4,6,4,9,4,2,4,5,6,4,13,7,1,3,2,1,4,5,4,4,3,4,4,6,6,6,7,8,11,3,2,7,6,10,6,8,4,5,4,7,4,13,8,5,5,3,2,9,5,4,4,12,12,9,5,4,4,8,4,9,8,13,5,10,9,7,4,5,5,7,4,9,7,7,4,8,5,2,3,2,6,2,10,4,5,4,5,8,3,11,7,5,7,6,5,4,3,10,17,8,3,6,3,4,5,5,2,8,8,10,11
Wentworth,LGA18200,3,4,4,11,3,2,10,5,5,1,3,11,10,12,2,9,5,5,8,8,9,9,16,21,5,12,10,16,10,4,5,9,2,2,7,6,13,9,13,9,6,5,9,7,8,5,5,6,13,5,7,8,4,6,7,10,4,9,5,11,6,10,14,4,3,4,6,3,5,3,9,1,4,9,3,4,5,13,1,6,8,5,9,9,17,5,2,4,5,6,4,5,2,7,5,5,8,5,9,5,12,2,10,6,6,7,12,8,6,6,2,6,5,2,5,8,3,8,9,9,11,12,9,6,4,1,12,3,6,11,7,9,9,11,7,6,8,6,2,6,7,2,7,3,0,3,6,6,1,3,12,6,6,4,8,11,5,14,1,6,4,4,3,6,6,6,9,11,6,7,7,6,4,5,4,5,3,8,7,6,6,16,10,2,6,3,7,5,3,5,4,6,7,1,9,9,1,6,4,1,9,4,7,8
Willoughby,LGA18250,4,3,1,2,2,3,2,1,5,0,4,3,1,9,7,8,10,3,7,7,4,6,5,6,12,8,6,7,5,3,2,4,3,5,2,7,3,9,15,5,12,4,7,6,11,10,5,8,11,9,2,3,4,9,7,4,6,9,6,10,8,10,13,5,7,10,7,5,7,9,7,18,6,9,10,9,4,8,4,5,8,6,4,7,2,7,10,7,4,8,4,8,4,6,3,8,9,8,3,4,5,3,5,9,8,9,12,6,13,0,7,4,3,0,3,1,5,5,4,4,7,5,8,4,4,4,4,2,5,1,3,6,4,3,7,7,5,3,4,3,5,4,6,8,6,8,5,6,4,8,4,6,5,7,3,3,10,4,10,7,7,7,5,7,4,9,7,9,7,13,11,7,8,6,6,5,3,6,4,11,2,3,7,5,7,5,7,11,4,3,9,7,8,11,7,9,5,8,4,6,7,7,12,5
Wingecarribee,LGA18350,8,9,13,5,14,7,4,5,7,11,5,15,4,7,10,9,5,11,7,6,9,3,8,12,10,5,8,7,6,16,2,10,9,5,4,10,12,12,9,6,5,8,5,7,6,11,8,5,11,6,13,7,5,18,7,9,11,10,9,12,18,10,9,8,8,8,12,7,5,9,11,17,12,11,20,21,9,11,7,18,2,11,11,19,14,13,14,9,11,16,11,6,8,6,10,5,24,11,13,6,10,10,10,10,11,10,9,7,13,11,10,11,6,9,7,10,19,3,4,10,14,13,15,10,8,14,11,3,5,5,8,14,11,10,9,10,6,9,6,9,6,14,7,11,12,13,6,7,12,8,10,4,16,10,9,9,6,9,8,18,13,6,9,9,6,6,8,14,11,7,13,7,2,12,8,13,7,10,23,11,10,10,14,4,13,10,10,10,9,14,8,19,11,8,14,12,11,6,10,2,13,9,16,12
Wollondilly,LGA18400,12,8,8,12,8,7,5,10,12,8,12,5,5,7,7,7,7,7,8,2,13,5,11,8,7,12,11,9,7,8,4,8,1,5,10,14,11,7,6,7,5,4,8,6,4,11,5,6,9,14,8,6,7,2,3,7,10,9,6,13,12,7,13,4,9,7,11,8,10,13,14,10,8,3,8,9,5,4,10,6,4,12,8,18,11,10,5,8,14,10,15,20,4,10,9,13,9,8,12,8,7,7,13,14,5,15,10,17,20,15,14,13,10,8,12,7,9,11,9,10,15,28,10,2,15,11,5,11,10,14,17,6,10,12,5,9,24,9,8,14,18,22,18,14,12,17,16,9,16,18,14,11,11,10,10,9,11,11,10,9,15,5,18,15,7,13,12,13,8,14,31,4,11,7,14,12,13,16,16,26,15,14,8,10,7,10,21,10,13,17,9,11,11,19,14,10,19,21,11,13,17,9,12,27
Wollongong,LGA18450,50,32,55,38,34,22,36,52,40,48,42,52,56,49,56,53,51,42,64,54,46,62,60,58,68,73,68,74,69,60,66,57,71,85,90,77,67,65,51,51,51,53,84,58,54,62,70,78,87,77,75,74,67,61,57,61,66,74,57,76,75,64,71,53,62,69,64,53,60,68,68,56,62,56,77,49,59,55,44,66,61,77,54,70,68,76,65,41,40,59,57,55,55,72,73,68,86,66,63,68,71,48,56,52,50,60,53,55,67,49,69,28,54,56,42,69,58,64,57,70,54,64,57,71,46,64,47,54,68,49,65,57,57,48,52,45,43,42,40,51,61,53,65,65,87,40,45,56,44,52,47,58,46,58,57,55,50,54,39,58,66,57,61,48,45,54,80,69,84,54,73,63,49,42,45,75,59,65,56,73,69,68,68,72,60,63,61,44,53,67,70,81,63,68,51,45,57,57,51,64,56,77,71,60
Woollahra,LGA18500,5,7,4,5,3,3,6,6,4,4,0,3,9,3,5,1,7,13,2,3,2,10,5,5,8,2,4,8,1,5,14,7,8,5,4,9,8,4,10,6,5,5,6,5,7,6,7,6,6,6,4,6,0,4,3,6,5,5,5,2,4,7,5,8,5,9,3,9,6,4,5,5,7,4,12,4,3,5,4,3,2,11,9,3,8,3,2,6,7,1,2,13,7,11,3,8,6,8,8,6,4,1,8,2,5,6,6,8,8,8,5,6,8,3,8,7,10,4,14,6,11,10,9,3,4,4,6,6,9,4,4,10,8,7,6,8,6,9,4,6,12,3,6,7,11,6,2,3,3,6,5,4,8,9,4,6,8,3,5,6,3,5,4,5,8,3,12,12,9,10,5,8,5,11,10,6,4,4,2,4,15,7,8,6,11,6,3,5,9,6,8,11,5,3,9,13,10,8,4,6,11,5,6,10
Wyong,LGA18550,43,40,41,32,33,33,28,24,34,34,34,43,54,52,58,39,44,37,46,48,37,47,60,60,69,64,81,47,51,56,46,38,56,66,62,90,82,46,65,52,47,49,49,45,52,57,66,76,81,78,50,55,48,55,56,58,68,59,59,80,72,56,64,52,54,65,53,61,61,55,62,62,71,77,45,47,54,47,49,58,63,57,67,89,90,53,68,52,63,47,57,63,63,63,75,64,85,73,87,64,59,70,56,51,69,58,67,70,69,74,63,51,74,52,46,42,66,70,84,73,67,75,66,55,70,31,51,51,70,74,70,74,80,50,62,56,60,49,53,58,53,39,69,83,83,56,72,53,57,68,61,57,63,41,46,55,85,58,69,50,45,47,60,52,55,60,71,82,92,57,59,53,60,51,58,57,46,57,64,72,56,63,61,59,54,58,73,71,56,77,93,87,76,61,87,69,50,52,66,74,48,79,86,72
Yass Valley,LGA18710,2,1,2,0,3,1,4,1,1,1,2,1,3,2,3,1,0,3,1,5,2,1,2,0,6,3,6,1,3,2,2,4,3,2,0,3,5,4,2,2,6,5,2,6,3,4,4,3,3,9,4,3,4,2,2,5,6,3,2,3,2,2,1,2,1,2,2,1,5,5,9,4,6,1,2,1,1,1,2,1,0,2,0,2,0,6,1,0,2,2,1,0,1,3,7,6,1,1,1,2,2,3,2,2,4,8,3,11,4,3,1,2,4,1,2,2,2,1,3,2,4,5,2,1,1,3,1,2,4,1,3,1,3,0,3,1,4,2,0,4,2,6,1,1,1,3,5,3,1,3,2,2,3,3,3,1,5,0,1,1,2,1,3,3,4,6,2,3,4,1,6,1,0,3,5,0,0,0,7,9,8,2,4,0,5,2,1,3,3,4,6,1,0,0,2,3,4,4,0,6,0,2,2,1
Young,LGA18750,4,2,3,3,3,3,3,5,3,3,2,1,2,1,3,3,4,1,3,4,4,0,3,6,5,6,3,3,4,4,1,3,3,10,9,1,4,1,2,6,2,1,6,2,4,1,1,5,7,7,4,1,3,4,3,3,1,9,7,9,8,5,7,3,2,8,3,3,9,4,8,10,4,3,8,8,7,5,1,10,6,3,4,7,3,4,6,4,8,3,3,9,7,2,7,8,2,4,2,3,6,4,6,3,5,4,6,6,9,5,12,7,5,3,7,1,6,3,4,8,9,6,5,12,5,5,4,4,6,3,6,8,3,5,2,9,6,1,7,7,6,5,5,11,11,7,3,6,4,8,2,5,9,3,8,3,5,2,3,10,2,5,5,4,11,4,6,7,9,6,7,4,7,9,7,5,4,9,8,6,5,7,8,10,3,9,7,7,3,9,10,12,8,7,4,2,4,4,5,6,4,9,6,9
