"","LGA","region_id","yr1999_dv","yr2000_dv","yr2001_dv","yr2002_dv","yr2003_dv","yr2004_dv","yr2005_dv","yr2006_dv","yr2007_dv","yr2008_dv","yr2009_dv","yr2010_dv","yr2011_dv","yr2012_dv","yr2013_dv","yr2014_dv","yr2015_dv","yr2016_dv","yr2017_dv","yr1999_pop","yr2000_pop","yr2001_pop","yr2002_pop","yr2003_pop","yr2004_pop","yr2005_pop","yr2006_pop","yr2007_pop","yr2008_pop","yr2009_pop","yr2010_pop","yr2011_pop","yr2012_pop","yr2013_pop","yr2014_pop","yr2015_pop","yr2016_pop","yr2017_pop","yr1999pct","yr2000pct","yr2001pct","yr2002pct","yr2003pct","yr2004pct","yr2005pct","yr2006pct","yr2007pct","yr2008pct","yr2009pct","yr2010pct","yr2011pct","yr2012pct","yr2013pct","yr2014pct","yr2015pct","yr2016pct","yr2017pct"
"38","Gwydir","LGA13660",8,11,12,8,14,7,10,9,13,12,6,12,14,16,15,15,11,15,19,5772,5768,5760,5700,5634,5563,5526,5536,5285,5168,5147,5141,5074,5174,5220,5253,5306,5326,5316,0.138600138600139,0.190707350901526,0.208333333333333,0.140350877192982,0.248491302804402,0.125831385942837,0.180962721679334,0.16257225433526,0.245979186376537,0.232198142414861,0.116572760831552,0.233417623030539,0.275916436736303,0.309238500193274,0.28735632183908,0.285551113649343,0.207312476441764,0.281637251220428,0.357411587659895
"39","Hawkesbury","LGA13800",160,134,185,202,244,236,263,226,238,193,256,240,235,238,295,324,276,258,249,61502,62248,62814,63294,63655,63499,63440,63732,62458,63041,63499,63857,64234,64651,65082,65420,65773,66136,66402,0.260154141328737,0.215267960416399,0.294520329862769,0.319145574620027,0.383316314507894,0.371659396210964,0.414564943253468,0.354609929078014,0.381056069678824,0.306149965895211,0.403155955211893,0.375839766979344,0.365849861444095,0.368130423349987,0.453274330844166,0.495261387954754,0.419625074118559,0.390105237692029,0.374988705159483
"40","Hay","LGA13850",17,19,19,18,18,16,10,18,22,12,23,8,21,24,15,16,11,24,17,3682,3609,3599,3602,3577,3543,3531,3520,3421,3317,3236,3169,3097,3028,3013,3002,2989,2975,2969,0.461705594785443,0.526461623718482,0.527924423450959,0.499722376457524,0.503214984623987,0.451594693762348,0.283205890682526,0.511363636363636,0.643086816720257,0.361772686162195,0.710754017305315,0.25244556642474,0.678075556990636,0.792602377807133,0.497842681712579,0.532978014656895,0.368016058882569,0.80672268907563,0.572583361401145
"41","Hornsby","LGA14000",111,152,185,164,176,218,207,217,203,217,178,212,223,202,203,188,199,152,158,130659,131560,132468,133382,134302,135229,136162,136162,137694,139436,141117,142549,143273,143862,144620,145524,146485,147661,149242,0.0849539641356508,0.115536637275768,0.139656369840263,0.122955121380696,0.131047936739587,0.1612080249059,0.152024793995388,0.159368986942025,0.147428355629149,0.155626954301615,0.126136468320613,0.148720790745638,0.155646911839635,0.140412339603231,0.140367860600194,0.129188312580743,0.135850087039629,0.102938487481461,0.10586832125005
"42","Hunters Hill","LGA14100",10,14,13,21,10,12,9,8,18,19,16,20,16,14,14,25,14,15,22,13164,13311,13382,13543,13682,13889,13917,13912,13811,13765,13865,13884,13880,14073,14240,14425,14538,14638,14716,0.0759647523549073,0.105176170084892,0.0971454192198476,0.155061655467769,0.0730887297178775,0.0863993088055296,0.0646691097219228,0.0575043128234618,0.130330895662877,0.138031238648747,0.115398485394879,0.144050705848459,0.115273775216138,0.0994812762026576,0.098314606741573,0.173310225303293,0.0962993534186271,0.102473015439268,0.149497145963577
"43","Inverell","LGA14200",82,111,91,92,99,115,106,110,112,110,97,129,100,161,137,151,113,101,86,15491,15596,15754,15812,15768,15705,15798,15949,16212,16305,16486,16539,16614,16612,16619,16667,16717,16778,16780,0.529339616551546,0.711720954090793,0.577631077821506,0.5818365798128,0.627853881278539,0.732250875517351,0.67097100898848,0.689698413693648,0.690846286701209,0.674639681079424,0.588378017711998,0.779974605477961,0.601902010352715,0.969178906814351,0.82435766291594,0.905981880362393,0.675958605012861,0.60197878173799,0.512514898688915
"44","Junee","LGA14300",33,20,23,33,17,22,21,25,21,21,25,20,14,21,13,20,42,41,10,5907,5931,5905,5914,5887,5883,5917,6009,6002,6021,6103,6092,6091,6147,6234,6316,6379,6462,6555,0.558659217877095,0.337211262856179,0.389500423370025,0.557997970916469,0.288771870222524,0.373958864524902,0.354909582558729,0.416042602762523,0.349883372209264,0.348779272546089,0.409634605931509,0.328299409061064,0.229847315711706,0.341630063445583,0.208533846647417,0.316656111462951,0.65841040915504,0.634478489631693,0.15255530129672
"45","Kempsey","LGA14350",204,201,228,269,245,197,212,205,208,284,214,207,184,214,222,210,243,229,219,27025,27090,27374,27594,27831,28070,28605,28763,28652,28834,29072,29076,29188,29239,29303,29384,29420,29454,29536,0.754856614246068,0.741971207087486,0.832907138160298,0.974849604986591,0.880313319679494,0.70181688635554,0.741129173221465,0.712721204325001,0.725952813067151,0.984948324894222,0.736103467253715,0.711927362773421,0.630396053172537,0.731899175758405,0.757601610756578,0.714674652872311,0.825968728755948,0.777483533645685,0.74146803900325
"46","Kiama","LGA14400",24,21,28,37,43,36,36,30,29,28,33,22,33,32,40,31,39,24,34,19205,19706,19959,20120,20240,20170,20248,20382,20124,20217,20433,20620,20832,20998,21243,21587,21855,22044,22378,0.124967456391565,0.106566527961027,0.140287589558595,0.18389662027833,0.212450592885375,0.178482895389192,0.177795337811142,0.147188695908154,0.144106539455377,0.138497304248899,0.161503450300984,0.106692531522793,0.158410138248848,0.15239546623488,0.188297321470602,0.14360494742206,0.178448867536033,0.108873162765378,0.151934936097953
"47","Ku-ring-gai","LGA14500",31,46,52,70,49,70,69,75,73,72,62,71,61,80,92,100,73,76,71,106099,106626,107655,108212,108684,108702,108264,108395,105944,108054,110441,112671,114704,116498,118487,120314,121947,123143,124898,0.0292179945145572,0.0431414476769268,0.0483024476336445,0.0646878349905741,0.0450848330941077,0.0643962392596272,0.0637330968743073,0.0691913833663914,0.068904326814166,0.0666333499916708,0.05613857172608,0.0630153278128356,0.0531803598828288,0.0686707067932497,0.0776456488897516,0.0831158468673637,0.0598620712276645,0.0617168657576963,0.0568463866515076
"48","Kyogle","LGA14550",29,40,32,34,33,33,32,36,38,63,55,39,35,34,32,33,36,45,46,9894,9828,9817,9770,9666,9613,9622,9642,9631,9591,9597,9572,9537,9411,9332,9269,9170,9072,8927,0.293106933495048,0.407000407000407,0.325965162473261,0.348004094165814,0.341402855369336,0.343285134713409,0.332571191020578,0.373366521468575,0.394559235801059,0.656865811698467,0.573095759091383,0.407438361888842,0.366991716472685,0.361279353947508,0.342906129447064,0.356025461214802,0.392584514721919,0.496031746031746,0.515290691161644
"49","Lachlan","LGA14600",68,76,71,63,80,58,70,58,63,44,54,51,50,56,59,59,54,55,58,7183,7132,7080,7029,6979,6928,6879,6829,6753,6753,6751,6723,6758,6653,6586,6533,6452,6352,6213,0.946679660309063,1.06561974200785,1.00282485875706,0.89628681177977,1.14629603094999,0.837182448036952,1.01758976595435,0.849319080392444,0.932918702798756,0.651562268621353,0.79988149903718,0.758589915216421,0.739863865048831,0.841725537351571,0.895839659884604,0.903107301392928,0.836949783013019,0.865869017632242,0.933526476742314
"50","Lake Macquarie","LGA14650",315,456,616,629,763,685,890,779,729,696,745,645,630,711,795,712,750,741,801,183149,185385,187803,188540,189017,189048,189287,189596,192161,193545,194869,195283,195909,197866,199224,200690,201811,202847,203823,0.171991111062577,0.245974593413707,0.3280032800328,0.333616208762066,0.403667394996217,0.362341839109644,0.470185485532551,0.410873647123357,0.379369382965326,0.359606293110129,0.382308114682171,0.33028988698453,0.32157787544217,0.359334094791424,0.399048307432839,0.35477602272161,0.371634846465257,0.365299955138602,0.392988033735153
"51","Lane Cove","LGA14700",23,37,22,52,31,30,31,28,25,23,27,22,47,33,23,33,29,45,33,31614,31760,32086,32111,32248,32291,32286,32375,31808,31864,32262,32758,33197,33762,34315,35286,36524,37810,38782,0.0727525779717847,0.116498740554156,0.0685657296016954,0.161938276603033,0.096129992557678,0.0929051438481311,0.0960168494084123,0.0864864864864865,0.0785965794768612,0.0721817725332664,0.0836897898456388,0.0671591672263264,0.141579058348646,0.0977430247023281,0.067026081888387,0.0935215099472879,0.0793998466761581,0.119016133298069,0.0850910216079624
"52","Leeton","LGA14750",43,77,117,125,75,58,61,52,54,42,50,54,78,53,47,70,68,57,63,11436,11680,11925,11978,12009,12019,12017,12088,11663,11570,11582,11489,11406,11437,11420,11422,11428,11418,11420,0.376005596362364,0.659246575342466,0.981132075471698,1.04357989647687,0.624531601299026,0.482569265329894,0.50761421319797,0.43017868960953,0.463002657978222,0.363007778738116,0.431704368848213,0.47001479676212,0.683850604944766,0.463408236425636,0.411558669001751,0.612852390124321,0.595029751487574,0.499211770888071,0.551663747810858
"53","Lismore","LGA14850",168,258,254,262,254,247,226,289,270,272,249,207,207,223,189,214,208,175,175,43209,43086,43064,43030,43015,43162,43530,44032,44305,44283,44284,44267,44282,44392,44396,44316,44193,44054,43816,0.388807887245713,0.598802395209581,0.589819803083782,0.60887752730653,0.590491688945717,0.572262638431954,0.519182173213875,0.656340843023256,0.609412030244893,0.614231194815166,0.562279830186975,0.467616960715657,0.467458561040603,0.502342764462065,0.425714028290837,0.482895568192075,0.470662774647569,0.397239751214419,0.399397480372467
"54","Lithgow","LGA14870",61,62,75,97,100,105,113,107,110,112,100,86,106,108,98,98,94,85,99,20341,20384,20618,20665,20749,20835,20865,20981,20550,20551,20732,20753,20790,21016,21141,21322,21449,21524,21596,0.299886927879652,0.304160125588697,0.363759821515181,0.46939269295911,0.481950937394573,0.503959683225342,0.541576803259046,0.509985224727134,0.535279805352798,0.544985645467374,0.482346131584025,0.414397918373247,0.50986050986051,0.513894175866007,0.463554231114895,0.459619172685489,0.438248869411161,0.394908009663631,0.458418225597333
"55","Liverpool","LGA14900",467,484,553,775,742,697,652,656,684,612,717,798,836,880,975,1023,934,983,860,144973,152146,159046,163310,165533,167618,169573,172050,173483,177432,181573,184671,188083,191921,196287,201010,206568,212232,217736,0.322128948148966,0.318115494327817,0.347698150220691,0.474557589859776,0.448248989627446,0.415826462551755,0.384495173170257,0.381284510316768,0.394274943366209,0.344920871094278,0.394882499049969,0.432119823903049,0.444484615834499,0.458521996029616,0.496721637194516,0.508929903984876,0.45215134967662,0.463172377398319,0.39497372965426
"56","Liverpool Plains","LGA14920",16,17,13,29,33,20,34,43,47,26,42,35,39,32,29,35,40,67,35,7951,7955,8041,8015,7945,7897,7861,7877,7837,7823,7797,7768,7769,7794,7826,7852,7865,7874,7887,0.20123254936486,0.21370207416719,0.161671433901256,0.361821584529008,0.415355569540592,0.253260731923515,0.432514947207734,0.545893106512632,0.599719280336864,0.332353317141761,0.538668718737976,0.450566426364573,0.501995108765607,0.410572235052605,0.370559672885254,0.445746306673459,0.508582326764145,0.850901701803404,0.443768226195004
"57","Maitland","LGA15050",174,220,261,277,315,292,310,300,299,301,265,285,292,328,373,351,466,495,439,54051,55379,56492,57728,58900,59855,61166,62596,66004,66973,67735,68499,69646,72093,74006,75910,77657,79340,81235,0.321918188377643,0.397262500225717,0.462012320328542,0.479836474501109,0.534804753820034,0.487845626931752,0.506817512997417,0.479263850725286,0.453002848312223,0.449434846878593,0.391230530744814,0.416064468094425,0.419263130689487,0.454967888699319,0.504013188119882,0.462389671979976,0.600074687407446,0.623897151499874,0.540407459838739
"58","Mid-Western Regional","LGA15270",56,67,75,93,118,91,112,75,125,125,98,119,109,125,91,125,125,124,107,21854,22037,22130,22211,22159,22087,22126,22260,22208,22446,22647,22813,23000,23355,23759,24090,24412,24569,24826,0.25624599615631,0.3040341244271,0.338906461816539,0.418711449281887,0.532515005189765,0.412007062978222,0.506191810539637,0.336927223719677,0.56286023054755,0.556892096587365,0.432728396697134,0.521632402577478,0.473913043478261,0.535217298223079,0.383012753061998,0.518887505188875,0.512043257414386,0.50470104603362,0.430999758317893
"59","Moree Plains","LGA15300",127,147,179,189,192,208,204,201,232,240,231,182,192,244,221,268,243,254,219,15006,14919,14832,14746,14661,14576,14491,14407,14155,14070,14019,14032,14043,13978,13915,13841,13717,13590,13408,0.846328135412502,0.985320731952544,1.20685005393743,1.28170351281704,1.30959688970739,1.42700329308452,1.40777034021117,1.3951551329215,1.63899682091134,1.70575692963753,1.64776374919752,1.29703534777651,1.36722922452467,1.74560022893118,1.58821415738412,1.93627628061556,1.77152438579864,1.86902133922001,1.63335322195704
"60","Mosman","LGA15350",19,31,26,34,26,32,25,27,36,26,33,35,36,26,27,54,50,33,51,27678,27621,27851,27973,28155,28366,28271,28414,28030,28501,28827,29227,29475,29483,29633,29839,30033,30215,30465,0.068646578510008,0.112233445566779,0.0933539190693332,0.121545776284274,0.0923459421061978,0.112811111894522,0.0884298397651303,0.0950235799253889,0.128433820906172,0.0912248693028315,0.114476012072016,0.119752283847128,0.122137404580153,0.0881864125089034,0.091114635710188,0.18097121217199,0.16648353477841,0.109217276187324,0.16740521910389
"61","Muswellbrook","LGA15650",37,60,60,78,81,80,105,76,68,76,81,80,75,78,103,129,92,93,93,15250,15125,15221,15338,15280,15165,15137,15236,15939,15944,16014,16166,16322,16406,16423,16445,16453,16468,16427,0.242622950819672,0.396694214876033,0.394192234412982,0.508540878862955,0.530104712041885,0.527530497856907,0.693664530620334,0.498818587555789,0.426626513583035,0.476668339187155,0.505807418508805,0.494865767660522,0.459502511947065,0.475435816164818,0.627169213907325,0.784432958346002,0.559168540691667,0.564731600680107,0.566141109149571
"62","Nambucca","LGA15700",81,73,78,80,84,68,83,75,107,92,116,100,87,95,92,106,107,100,105,18092,18034,18171,18216,18128,18496,18710,18886,18749,18949,19089,19229,19286,19306,19412,19478,19509,19521,19625,0.447711695777139,0.404790950426971,0.429255406967145,0.439174352217831,0.463371579876434,0.367647058823529,0.443613041154463,0.397119559462035,0.570697103845539,0.485513747427305,0.607679815600608,0.520047844401685,0.451104428082547,0.492075002589868,0.4739336492891,0.544203717014067,0.54846481111282,0.512268838686543,0.535031847133758
"63","Narrabri","LGA15750",92,113,76,75,104,82,75,105,97,76,72,70,43,61,66,56,89,98,76,14392,14443,14537,14463,14373,14217,14153,14181,13534,13446,13502,13479,13475,13460,13539,13558,13562,13481,13387,0.639244024458032,0.782385930900782,0.522803879755108,0.518564613150799,0.723578932721074,0.576774284307519,0.529922984526249,0.740427332346097,0.716713462391015,0.565223858396549,0.533254332691453,0.51932635952222,0.319109461966605,0.453194650817236,0.487480611566585,0.413040271426464,0.656245391535172,0.726949039388769,0.567714947336969
"64","Narrandera","LGA15800",30,41,78,57,48,44,42,38,26,42,45,35,35,34,34,34,25,27,35,6883,6824,6739,6706,6634,6584,6577,6588,6175,6133,6151,6132,6123,6093,6067,6035,6005,5976,5951,0.435856457939852,0.600820633059789,1.15744175693723,0.849985087980913,0.723545372324389,0.668286755771567,0.638589022350616,0.576806314511233,0.421052631578947,0.68481982716452,0.731588359616323,0.570776255707762,0.57161522129675,0.558017397012966,0.56040876874897,0.563380281690141,0.41631973355537,0.451807228915663,0.588136447655856
"65","Narromine","LGA15850",46,43,42,55,72,65,34,33,38,41,34,44,57,40,46,52,71,46,56,6934,6983,7117,7094,7036,7009,7027,7059,6803,6853,6871,6907,6929,6794,6756,6715,6659,6599,6554,0.663397750216325,0.615781182872691,0.590136293382043,0.775303073019453,1.02330869812393,0.927379084034812,0.483848014800057,0.46748831279218,0.558577098338968,0.598278126368014,0.49483335758987,0.63703489213841,0.822629528070429,0.588754783632617,0.680876258140912,0.774385703648548,1.0662261600841,0.697075314441582,0.854440036618859
"66","Newcastle","LGA15900",395,586,720,738,753,698,752,727,752,650,624,573,632,732,682,730,692,720,664,139366,140710,142101,143103,144273,145352,146536,147545,150484,152201,152934,153542,154896,156550,157615,158914,159981,160919,162480,0.283426373720994,0.416459384549783,0.50668186712268,0.515712458858305,0.521927179721777,0.48021355055314,0.513184473439974,0.492731031210817,0.499720900560857,0.427066839245471,0.408019145513751,0.373187792265309,0.408015700857349,0.467582242095177,0.432699933381975,0.459367960028695,0.43255136547465,0.447430073515247,0.408665681930084
"67","North Sydney","LGA15950",52,68,66,91,92,101,86,93,102,101,85,103,113,115,132,130,116,132,134,57948,58262,58713,59226,59999,60694,61212,61802,62753,63621,64885,66049,67033,67701,68782,69937,71100,72037,73077,0.0897356250431421,0.116714153307473,0.112411220683665,0.153648735352717,0.153335888931482,0.166408541206709,0.14049532771352,0.150480566971943,0.162542029863114,0.158752613130884,0.131001001772366,0.155944828839195,0.168573687586711,0.16986455148373,0.191910674304324,0.185881579135508,0.163150492264416,0.183239168760498,0.183368228033444
"68","Oberon","LGA16100",13,9,13,23,21,15,15,8,11,2,15,13,19,9,11,19,33,15,19,5082,5124,5287,5360,5368,5378,5443,5503,5238,5209,5228,5223,5207,5248,5323,5351,5373,5399,5430,0.255804801259347,0.175644028103044,0.245886135804804,0.42910447761194,0.391207153502236,0.278914094458907,0.275583318023149,0.145375249863711,0.210003818251241,0.0383950854290651,0.286916602907422,0.248899100134023,0.364893412713655,0.171493902439024,0.206650385121172,0.355073817977948,0.614182021217197,0.277829227634747,0.349907918968692
"69","Orange","LGA16150",126,138,151,189,235,200,151,168,170,172,222,218,266,259,295,306,306,254,268,36151,36509,36999,37257,37500,37517,37687,37982,37408,37918,38301,38794,39480,39818,40251,40751,41010,41384,41636,0.348538076401759,0.377988989016407,0.408119138355091,0.507287221193333,0.626666666666667,0.533091665111816,0.400668665587603,0.442314780685588,0.454448246364414,0.453610422490638,0.579619331087961,0.561942568438418,0.673758865248227,0.650459591139686,0.732901045936747,0.750901818360286,0.746159473299195,0.61376377343901,0.643673743875492
"70","Parkes","LGA16200",68,78,62,90,78,68,59,98,101,97,96,91,120,107,90,100,115,118,83,15126,15030,15047,15086,15061,15011,15022,15099,14880,14949,14927,15017,15084,15057,15036,15013,14984,14946,14920,0.449557054079069,0.518962075848303,0.41204226756164,0.596579610234655,0.517893898147533,0.453001132502831,0.392757289309013,0.649049605934168,0.678763440860215,0.648872834303298,0.643129898841026,0.605979889458614,0.795544948289578,0.71063292820615,0.598563447725459,0.66608938919603,0.767485317672184,0.789508898701994,0.556300268096515
"71","Penrith","LGA16350",649,667,762,667,752,811,787,786,912,902,863,943,1010,879,1002,1069,1057,1054,1115,173327,175448,177413,178193,178107,177212,177363,177544,177924,179950,181820,182937,184681,187314,190511,193778,197678,201400,204785,0.374436758266167,0.380169622908212,0.429506293225412,0.374313244628016,0.422218104847086,0.457643951876848,0.443722760665979,0.442707159915289,0.512578404262494,0.5012503473187,0.474645253547465,0.515478006089528,0.546888959882175,0.469265511387296,0.525953881928078,0.551662211396546,0.534707959408735,0.523336643495531,0.544473472178138
"72","Port Macquarie-Hastings","LGA16380",156,163,159,215,237,191,239,229,222,291,300,328,274,318,322,292,268,254,246,61914,63966,65378,67024,68423,69628,70499,71084,72084,73323,73789,74426,74949,76266,77003,78000,78925,79905,81202,0.251962399457312,0.254822874652159,0.243201076814831,0.320780615898783,0.346374757026146,0.274314930774976,0.339011900878027,0.32215407123966,0.307974030297986,0.396874104987521,0.406564664109827,0.440706204820896,0.365581929045084,0.416961686728031,0.418165526018467,0.374358974358974,0.339562876148242,0.317877479506914,0.302948203246225
"73","Port Stephens","LGA16400",159,185,201,239,284,253,277,274,314,261,256,232,195,295,285,323,323,353,313,56389,57790,58965,60098,61336,62351,63285,63650,64287,65070,65845,66575,67058,68038,68776,69587,70316,71118,71716,0.281969887744064,0.320124589029244,0.340880183159501,0.397683783154182,0.463023346811008,0.405767349360876,0.437702457138342,0.430479183032207,0.488434675750929,0.401106500691563,0.388791859670438,0.34847915884341,0.290793044826866,0.433581234016285,0.41438874025823,0.464167157658758,0.459354912111042,0.496358165302736,0.436443750348597
"74","Randwick","LGA16550",255,230,264,335,319,303,300,334,410,420,327,314,341,378,334,347,367,371,354,124703,124672,125223,125625,125905,126188,126936,127948,128723,131249,133877,135923,137757,139949,142618,145112,147303,149276,151993,0.204485858399557,0.1844840862423,0.210823890179919,0.266666666666667,0.253365632818395,0.24011791929502,0.236339572698053,0.261043548941758,0.318513396984222,0.320002438113814,0.24425405409443,0.231013147149489,0.247537330226413,0.270098392986016,0.234192037470726,0.239125640884282,0.249146317454499,0.248532918888502,0.232905462751574
"75","Richmond Valley","LGA16610",112,104,124,155,129,151,142,181,185,161,171,111,143,158,135,121,125,131,149,21172,21118,21183,21190,21056,20876,20864,21267,22388,22567,22601,22647,22697,22839,22951,23047,23094,23164,23195,0.529000566786322,0.492470877924046,0.585375064910541,0.73147711184521,0.612651975683891,0.723318643418279,0.680598159509202,0.851083838811304,0.826335536894765,0.713431116231666,0.756603690102208,0.490131143197775,0.630039212230691,0.691799115547966,0.588209664066925,0.525014101618432,0.541266129730666,0.565532723191159,0.642379823237767
